"Fact","Fact Note","Eagle County, Colorado","Value Note for Eagle County, Colorado"
"Population estimates, July 1, 2024, (V2024)","","54,330",""
"Population estimates, July 1, 2023, (V2023)","","54,381",""
"Population estimates base, April 1, 2020, (V2024)","","55,722",""
"Population estimates base, April 1, 2020, (V2023)","","55,718",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.4%",""
"Population, Census, April 1, 2020","","55,731",""
"Population, Census, April 1, 2010","","52,197",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","19.8%",""
"Persons 65 years and over, percent","","15.5%",""
"Female persons, percent","","47.1%",""
"White alone, percent","","93.7%",""
"Black alone, percent (a)","(a)","1.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","30.5%",""
"White alone, not Hispanic or Latino, percent","","65.6%",""
"Veterans, 2019-2023","","2,089",""
"Foreign-born persons, percent, 2019-2023","","16.0%",""
"Housing Units, July 1, 2023, (V2023)","","34,162",""
"Owner-occupied housing unit rate, 2019-2023","","67.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$814,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,688",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$796",""
"Median gross rent, 2019-2023","","$2,032",""
"Building Permits, 2023","","426",""
"Households, 2019-2023","","20,911",""
"Persons per household, 2019-2023","","2.64",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","26.7%",""
"Households with a computer, percent, 2019-2023","","98.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","95.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","50.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","3.8%",""
"Persons without health insurance, under age 65 years, percent","","11.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","74.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","69.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","947,027",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","556,580",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","137,034",""
"Total retail sales, 2022 ($1,000)","(c)","1,375,886",""
"Total retail sales per capita, 2022","(c)","$24,917",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.6",""
"Median households income (in 2023 dollars), 2019-2023","","$103,174",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$62,607",""
"Persons in poverty, percent","","6.6%",""
"Total employer establishments, 2022","","3,661",""
"Total employment, 2022","","35,034",""
"Total annual payroll, 2022 ($1,000)","","1,888,577",""
"Total employment, percent change, 2021-2022","","5.0%",""
"Total nonemployer establishments, 2022","","7,852",""
"All employer firms, Reference year 2022","","3,477",""
"Men-owned employer firms, Reference year 2022","","2,131",""
"Women-owned employer firms, Reference year 2022","","813",""
"Minority-owned employer firms, Reference year 2022","","349",""
"Nonminority-owned employer firms, Reference year 2022","","2,878",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","3,130",""
"Population per square mile, 2020","","33.1",""
"Population per square mile, 2010","","31.0",""
"Land area in square miles, 2020","","1,684.47",""
"Land area in square miles, 2010","","1,684.53",""
"FIPS Code","","""08037""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
