"Fact","Fact Note","Morgan County, Colorado","Value Note for Morgan County, Colorado"
"Population estimates, July 1, 2024, (V2024)","","30,300",""
"Population estimates, July 1, 2023, (V2023)","","29,524",""
"Population estimates base, April 1, 2020, (V2024)","","29,112",""
"Population estimates base, April 1, 2020, (V2023)","","29,108",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.4%",""
"Population, Census, April 1, 2020","","29,111",""
"Population, Census, April 1, 2010","","28,159",""
"Persons under 5 years, percent","","7.0%",""
"Persons under 18 years, percent","","26.2%",""
"Persons 65 years and over, percent","","16.5%",""
"Female persons, percent","","48.4%",""
"White alone, percent","","89.8%",""
"Black alone, percent (a)","(a)","4.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.7%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","39.0%",""
"White alone, not Hispanic or Latino, percent","","54.9%",""
"Veterans, 2019-2023","","1,376",""
"Foreign-born persons, percent, 2019-2023","","12.2%",""
"Housing Units, July 1, 2023, (V2023)","","11,947",""
"Owner-occupied housing unit rate, 2019-2023","","65.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$299,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,923",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$557",""
"Median gross rent, 2019-2023","","$1,092",""
"Building Permits, 2023","","89",""
"Households, 2019-2023","","11,033",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","23.6%",""
"Households with a computer, percent, 2019-2023","","92.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.3%",""
"Persons without health insurance, under age 65 years, percent","","13.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","56,643",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","195,941",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","70,757",""
"Total retail sales, 2022 ($1,000)","(c)","461,173",""
"Total retail sales per capita, 2022","(c)","$15,758",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.4",""
"Median households income (in 2023 dollars), 2019-2023","","$75,407",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,867",""
"Persons in poverty, percent","","12.5%",""
"Total employer establishments, 2022","","709",""
"Total employment, 2022","","9,382",""
"Total annual payroll, 2022 ($1,000)","","488,584",""
"Total employment, percent change, 2021-2022","","-2.0%",""
"Total nonemployer establishments, 2022","","2,175",""
"All employer firms, Reference year 2022","","672",""
"Men-owned employer firms, Reference year 2022","","383",""
"Women-owned employer firms, Reference year 2022","","115",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","471",""
"Veteran-owned employer firms, Reference year 2022","","11",""
"Nonveteran-owned employer firms, Reference year 2022","","570",""
"Population per square mile, 2020","","22.7",""
"Population per square mile, 2010","","22.0",""
"Land area in square miles, 2020","","1,280.49",""
"Land area in square miles, 2010","","1,280.43",""
"FIPS Code","","""08087""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
