"Fact","Fact Note","Pitkin County, Colorado","Value Note for Pitkin County, Colorado"
"Population estimates, July 1, 2024, (V2024)","","16,643",""
"Population estimates, July 1, 2023, (V2023)","","16,640",""
"Population estimates base, April 1, 2020, (V2024)","","17,366",""
"Population estimates base, April 1, 2020, (V2023)","","17,358",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-4.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-4.1%",""
"Population, Census, April 1, 2020","","17,358",""
"Population, Census, April 1, 2010","","17,148",""
"Persons under 5 years, percent","","3.8%",""
"Persons under 18 years, percent","","14.6%",""
"Persons 65 years and over, percent","","24.0%",""
"Female persons, percent","","48.0%",""
"White alone, percent","","94.0%",""
"Black alone, percent (a)","(a)","1.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","2.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","11.7%",""
"White alone, not Hispanic or Latino, percent","","83.5%",""
"Veterans, 2019-2023","","672",""
"Foreign-born persons, percent, 2019-2023","","10.9%",""
"Housing Units, July 1, 2023, (V2023)","","13,501",""
"Owner-occupied housing unit rate, 2019-2023","","67.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$1,131,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,909",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$1,104",""
"Median gross rent, 2019-2023","","$1,880",""
"Building Permits, 2023","","36",""
"Households, 2019-2023","","9,031",""
"Persons per household, 2019-2023","","1.88",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","14.6%",""
"Households with a computer, percent, 2019-2023","","97.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","97.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","64.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.6%",""
"Persons without health insurance, under age 65 years, percent","","7.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","69.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","659,859",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","201,402",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","86,141",""
"Total retail sales, 2022 ($1,000)","(c)","662,316",""
"Total retail sales per capita, 2022","(c)","$39,314",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.4",""
"Median households income (in 2023 dollars), 2019-2023","","$100,318",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$105,096",""
"Persons in poverty, percent","","6.4%",""
"Total employer establishments, 2022","","1,699",""
"Total employment, 2022","","17,218",""
"Total annual payroll, 2022 ($1,000)","","980,062",""
"Total employment, percent change, 2021-2022","","24.7%",""
"Total nonemployer establishments, 2022","","3,773",""
"All employer firms, Reference year 2022","","1,549",""
"Men-owned employer firms, Reference year 2022","","776",""
"Women-owned employer firms, Reference year 2022","","414",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","1,322",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,338",""
"Population per square mile, 2020","","17.9",""
"Population per square mile, 2010","","17.7",""
"Land area in square miles, 2020","","970.70",""
"Land area in square miles, 2010","","970.70",""
"FIPS Code","","""08097""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
