"Fact","Fact Note","Rio Blanco County, Colorado","Value Note for Rio Blanco County, Colorado"
"Population estimates, July 1, 2024, (V2024)","","6,607",""
"Population estimates, July 1, 2023, (V2023)","","6,569",""
"Population estimates base, April 1, 2020, (V2024)","","6,526",""
"Population estimates base, April 1, 2020, (V2023)","","6,526",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.7%",""
"Population, Census, April 1, 2020","","6,529",""
"Population, Census, April 1, 2010","","6,666",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","23.2%",""
"Persons 65 years and over, percent","","19.5%",""
"Female persons, percent","","48.7%",""
"White alone, percent","","93.1%",""
"Black alone, percent (a)","(a)","1.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.7%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent (b)","(b)","11.0%",""
"White alone, not Hispanic or Latino, percent","","83.5%",""
"Veterans, 2019-2023","","506",""
"Foreign-born persons, percent, 2019-2023","","5.0%",""
"Housing Units, July 1, 2023, (V2023)","","3,326",""
"Owner-occupied housing unit rate, 2019-2023","","75.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$243,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,356",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$370",""
"Median gross rent, 2019-2023","","$924",""
"Building Permits, 2023","","10",""
"Households, 2019-2023","","2,587",""
"Persons per household, 2019-2023","","2.40",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.0%",""
"Households with a computer, percent, 2019-2023","","96.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","94.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","26.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.9%",""
"Persons without health insurance, under age 65 years, percent","","9.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","10,892",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","73,780",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","104,477",""
"Total retail sales, 2022 ($1,000)","(c)","60,133",""
"Total retail sales per capita, 2022","(c)","$9,182",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","15.0",""
"Median households income (in 2023 dollars), 2019-2023","","$72,620",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,375",""
"Persons in poverty, percent","","10.8%",""
"Total employer establishments, 2022","","200",""
"Total employment, 2022","","2,130",""
"Total annual payroll, 2022 ($1,000)","","139,938",""
"Total employment, percent change, 2021-2022","","12.7%",""
"Total nonemployer establishments, 2022","","633",""
"All employer firms, Reference year 2022","","149",""
"Men-owned employer firms, Reference year 2022","","107",""
"Women-owned employer firms, Reference year 2022","","1",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","125",""
"Veteran-owned employer firms, Reference year 2022","","5",""
"Nonveteran-owned employer firms, Reference year 2022","","120",""
"Population per square mile, 2020","","2.0",""
"Population per square mile, 2010","","2.1",""
"Land area in square miles, 2020","","3,220.97",""
"Land area in square miles, 2010","","3,220.93",""
"FIPS Code","","""08103""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
