"Fact","Fact Note","Teller County, Colorado","Value Note for Teller County, Colorado"
"Population estimates, July 1, 2024, (V2024)","","24,862",""
"Population estimates, July 1, 2023, (V2023)","","24,617",""
"Population estimates base, April 1, 2020, (V2024)","","24,706",""
"Population estimates base, April 1, 2020, (V2023)","","24,707",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.4%",""
"Population, Census, April 1, 2020","","24,710",""
"Population, Census, April 1, 2010","","23,350",""
"Persons under 5 years, percent","","3.7%",""
"Persons under 18 years, percent","","15.9%",""
"Persons 65 years and over, percent","","26.7%",""
"Female persons, percent","","48.9%",""
"White alone, percent","","93.1%",""
"Black alone, percent (a)","(a)","1.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","7.9%",""
"White alone, not Hispanic or Latino, percent","","86.6%",""
"Veterans, 2019-2023","","3,564",""
"Foreign-born persons, percent, 2019-2023","","2.1%",""
"Housing Units, July 1, 2023, (V2023)","","13,862",""
"Owner-occupied housing unit rate, 2019-2023","","82.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$445,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,843",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$534",""
"Median gross rent, 2019-2023","","$1,746",""
"Building Permits, 2023","","194",""
"Households, 2019-2023","","11,253",""
"Persons per household, 2019-2023","","2.19",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.6%",""
"Households with a computer, percent, 2019-2023","","94.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","96.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","37.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.1%",""
"Persons without health insurance, under age 65 years, percent","","6.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","139,406",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","90,092",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","4,925",""
"Total retail sales, 2022 ($1,000)","(c)","336,028",""
"Total retail sales per capita, 2022","(c)","$13,517",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","32.2",""
"Median households income (in 2023 dollars), 2019-2023","","$80,666",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,242",""
"Persons in poverty, percent","","8.3%",""
"Total employer establishments, 2022","","845",""
"Total employment, 2022","","6,902",""
"Total annual payroll, 2022 ($1,000)","","314,003",""
"Total employment, percent change, 2021-2022","","15.5%",""
"Total nonemployer establishments, 2022","","2,890",""
"All employer firms, Reference year 2022","","610",""
"Men-owned employer firms, Reference year 2022","","323",""
"Women-owned employer firms, Reference year 2022","","157",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","483",""
"Veteran-owned employer firms, Reference year 2022","","73",""
"Nonveteran-owned employer firms, Reference year 2022","","458",""
"Population per square mile, 2020","","44.4",""
"Population per square mile, 2010","","41.9",""
"Land area in square miles, 2020","","557.08",""
"Land area in square miles, 2010","","557.06",""
"FIPS Code","","""08119""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
