"Fact","Fact Note","Yuma County, Colorado","Value Note for Yuma County, Colorado"
"Population estimates, July 1, 2024, (V2024)","","10,048",""
"Population estimates, July 1, 2023, (V2023)","","9,862",""
"Population estimates base, April 1, 2020, (V2024)","","9,980",""
"Population estimates base, April 1, 2020, (V2023)","","9,981",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.2%",""
"Population, Census, April 1, 2020","","9,988",""
"Population, Census, April 1, 2010","","10,043",""
"Persons under 5 years, percent","","7.0%",""
"Persons under 18 years, percent","","28.3%",""
"Persons 65 years and over, percent","","18.7%",""
"Female persons, percent","","49.2%",""
"White alone, percent","","95.5%",""
"Black alone, percent (a)","(a)","0.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","30.9%",""
"White alone, not Hispanic or Latino, percent","","66.7%",""
"Veterans, 2019-2023","","376",""
"Foreign-born persons, percent, 2019-2023","","15.5%",""
"Housing Units, July 1, 2023, (V2023)","","4,350",""
"Owner-occupied housing unit rate, 2019-2023","","69.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$215,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,499",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$494",""
"Median gross rent, 2019-2023","","$897",""
"Building Permits, 2023","","11",""
"Households, 2019-2023","","3,957",""
"Persons per household, 2019-2023","","2.46",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","82.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","23.3%",""
"Households with a computer, percent, 2019-2023","","93.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","26.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","4.0%",""
"Persons without health insurance, under age 65 years, percent","","13.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","15,896",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","77,210",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","21,566",""
"Total retail sales, 2022 ($1,000)","(c)","135,099",""
"Total retail sales per capita, 2022","(c)","$13,653",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","14.2",""
"Median households income (in 2023 dollars), 2019-2023","","$60,051",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,352",""
"Persons in poverty, percent","","12.7%",""
"Total employer establishments, 2022","","354",""
"Total employment, 2022","","2,219",""
"Total annual payroll, 2022 ($1,000)","","108,753",""
"Total employment, percent change, 2021-2022","","-10.6%",""
"Total nonemployer establishments, 2022","","1,043",""
"All employer firms, Reference year 2022","","300",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","219",""
"Veteran-owned employer firms, Reference year 2022","","14",""
"Nonveteran-owned employer firms, Reference year 2022","","242",""
"Population per square mile, 2020","","4.2",""
"Population per square mile, 2010","","4.2",""
"Land area in square miles, 2020","","2,364.40",""
"Land area in square miles, 2010","","2,364.41",""
"FIPS Code","","""08125""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
