"Fact","Fact Note","Bay County, Florida","Value Note for Bay County, Florida"
"Population estimates, July 1, 2024, (V2024)","","199,718",""
"Population estimates, July 1, 2023, (V2023)","","190,769",""
"Population estimates base, April 1, 2020, (V2024)","","175,210",""
"Population estimates base, April 1, 2020, (V2023)","","175,208",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","14.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","8.9%",""
"Population, Census, April 1, 2020","","175,216",""
"Population, Census, April 1, 2010","","168,852",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","21.2%",""
"Persons 65 years and over, percent","","18.5%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","81.1%",""
"Black alone, percent (a)","(a)","11.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","2.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.6%",""
"Hispanic or Latino, percent (b)","(b)","9.3%",""
"White alone, not Hispanic or Latino, percent","","73.3%",""
"Veterans, 2019-2023","","19,329",""
"Foreign-born persons, percent, 2019-2023","","8.0%",""
"Housing Units, July 1, 2023, (V2023)","","110,847",""
"Owner-occupied housing unit rate, 2019-2023","","68.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$276,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,648",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$520",""
"Median gross rent, 2019-2023","","$1,424",""
"Building Permits, 2023","","2,322",""
"Households, 2019-2023","","76,118",""
"Persons per household, 2019-2023","","2.35",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","81.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.4%",""
"Households with a computer, percent, 2019-2023","","96.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.9%",""
"Persons without health insurance, under age 65 years, percent","","13.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,061,284",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,385,111",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","331,137",""
"Total retail sales, 2022 ($1,000)","(c)","4,572,547",""
"Total retail sales per capita, 2022","(c)","$24,688",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.6",""
"Median households income (in 2023 dollars), 2019-2023","","$70,188",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,856",""
"Persons in poverty, percent","","11.8%",""
"Total employer establishments, 2022","","5,160",""
"Total employment, 2022","","59,681",""
"Total annual payroll, 2022 ($1,000)","","2,769,916",""
"Total employment, percent change, 2021-2022","","4.2%",""
"Total nonemployer establishments, 2022","","18,993",""
"All employer firms, Reference year 2022","","4,447",""
"Men-owned employer firms, Reference year 2022","","2,455",""
"Women-owned employer firms, Reference year 2022","","904",""
"Minority-owned employer firms, Reference year 2022","","696",""
"Nonminority-owned employer firms, Reference year 2022","","3,230",""
"Veteran-owned employer firms, Reference year 2022","","426",""
"Nonveteran-owned employer firms, Reference year 2022","","3,360",""
"Population per square mile, 2020","","231.0",""
"Population per square mile, 2010","","222.6",""
"Land area in square miles, 2020","","758.64",""
"Land area in square miles, 2010","","758.46",""
"FIPS Code","","""12005""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
