"Fact","Fact Note","Broward County, Florida","Value Note for Broward County, Florida"
"Population estimates, July 1, 2024, (V2024)","","2,037,472",""
"Population estimates, July 1, 2023, (V2023)","","1,962,531",""
"Population estimates base, April 1, 2020, (V2024)","","1,944,404",""
"Population estimates base, April 1, 2020, (V2023)","","1,944,381",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.9%",""
"Population, Census, April 1, 2020","","1,944,375",""
"Population, Census, April 1, 2010","","1,748,066",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","20.5%",""
"Persons 65 years and over, percent","","18.5%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","62.4%",""
"Black alone, percent (a)","(a)","30.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","4.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","33.0%",""
"White alone, not Hispanic or Latino, percent","","32.5%",""
"Veterans, 2019-2023","","63,053",""
"Foreign-born persons, percent, 2019-2023","","36.2%",""
"Housing Units, July 1, 2023, (V2023)","","868,149",""
"Owner-occupied housing unit rate, 2019-2023","","63.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$380,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,315",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$788",""
"Median gross rent, 2019-2023","","$1,804",""
"Building Permits, 2023","","3,047",""
"Households, 2019-2023","","749,372",""
"Persons per household, 2019-2023","","2.57",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","43.0%",""
"Households with a computer, percent, 2019-2023","","96.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","35.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.7%",""
"Persons without health insurance, under age 65 years, percent","","14.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","8,872,747",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","19,131,097",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","12,140,228",""
"Total retail sales, 2022 ($1,000)","(c)","48,218,447",""
"Total retail sales per capita, 2022","(c)","$24,767",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.0",""
"Median households income (in 2023 dollars), 2019-2023","","$74,534",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$41,910",""
"Persons in poverty, percent","","12.7%",""
"Total employer establishments, 2022","","67,274",""
"Total employment, 2022","","749,126",""
"Total annual payroll, 2022 ($1,000)","","45,460,783",""
"Total employment, percent change, 2021-2022","","5.4%",""
"Total nonemployer establishments, 2022","","362,334",""
"All employer firms, Reference year 2022","","57,280",""
"Men-owned employer firms, Reference year 2022","","34,770",""
"Women-owned employer firms, Reference year 2022","","13,843",""
"Minority-owned employer firms, Reference year 2022","","19,324",""
"Nonminority-owned employer firms, Reference year 2022","","34,309",""
"Veteran-owned employer firms, Reference year 2022","","1,770",""
"Nonveteran-owned employer firms, Reference year 2022","","52,373",""
"Population per square mile, 2020","","1,616.6",""
"Population per square mile, 2010","","1,444.9",""
"Land area in square miles, 2020","","1,202.73",""
"Land area in square miles, 2010","","1,209.79",""
"FIPS Code","","""12011""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
