"Fact","Fact Note","Charlotte County, Florida","Value Note for Charlotte County, Florida"
"Population estimates, July 1, 2024, (V2024)","","212,122",""
"Population estimates, July 1, 2023, (V2023)","","206,134",""
"Population estimates base, April 1, 2020, (V2024)","","186,824",""
"Population estimates base, April 1, 2020, (V2023)","","186,825",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","13.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","10.3%",""
"Population, Census, April 1, 2020","","186,847",""
"Population, Census, April 1, 2010","","159,978",""
"Persons under 5 years, percent","","2.7%",""
"Persons under 18 years, percent","","11.8%",""
"Persons 65 years and over, percent","","40.6%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","90.1%",""
"Black alone, percent (a)","(a)","6.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","8.3%",""
"White alone, not Hispanic or Latino, percent","","82.8%",""
"Veterans, 2019-2023","","19,727",""
"Foreign-born persons, percent, 2019-2023","","9.8%",""
"Housing Units, July 1, 2023, (V2023)","","123,504",""
"Owner-occupied housing unit rate, 2019-2023","","83.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$291,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,673",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$630",""
"Median gross rent, 2019-2023","","$1,289",""
"Building Permits, 2023","","4,429",""
"Households, 2019-2023","","87,376",""
"Persons per household, 2019-2023","","2.18",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.7%",""
"Households with a computer, percent, 2019-2023","","94.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","25.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.8%",""
"Persons without health insurance, under age 65 years, percent","","14.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","42.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","40.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","483,536",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,653,536",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","384,565",""
"Total retail sales, 2022 ($1,000)","(c)","3,782,958",""
"Total retail sales per capita, 2022","(c)","$18,674",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.3",""
"Median households income (in 2023 dollars), 2019-2023","","$66,154",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,603",""
"Persons in poverty, percent","","9.1%",""
"Total employer establishments, 2022","","4,537",""
"Total employment, 2022","","41,883",""
"Total annual payroll, 2022 ($1,000)","","1,868,442",""
"Total employment, percent change, 2021-2022","","7.4%",""
"Total nonemployer establishments, 2022","","18,071",""
"All employer firms, Reference year 2022","","4,009",""
"Men-owned employer firms, Reference year 2022","","2,202",""
"Women-owned employer firms, Reference year 2022","","882",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","3,005",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","3,481",""
"Population per square mile, 2020","","274.3",""
"Population per square mile, 2010","","235.2",""
"Land area in square miles, 2020","","681.12",""
"Land area in square miles, 2010","","680.28",""
"FIPS Code","","""12015""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
