"Fact","Fact Note","Columbia County, Florida","Value Note for Columbia County, Florida"
"Population estimates, July 1, 2024, (V2024)","","73,977",""
"Population estimates, July 1, 2023, (V2023)","","73,063",""
"Population estimates base, April 1, 2020, (V2024)","","69,698",""
"Population estimates base, April 1, 2020, (V2023)","","69,694",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","6.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.8%",""
"Population, Census, April 1, 2020","","69,698",""
"Population, Census, April 1, 2010","","67,531",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","22.0%",""
"Persons 65 years and over, percent","","20.7%",""
"Female persons, percent","","48.9%",""
"White alone, percent","","77.9%",""
"Black alone, percent (a)","(a)","17.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","8.0%",""
"White alone, not Hispanic or Latino, percent","","71.2%",""
"Veterans, 2019-2023","","6,029",""
"Foreign-born persons, percent, 2019-2023","","4.0%",""
"Housing Units, July 1, 2023, (V2023)","","30,568",""
"Owner-occupied housing unit rate, 2019-2023","","70.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$186,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,376",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$377",""
"Median gross rent, 2019-2023","","$915",""
"Building Permits, 2023","","182",""
"Households, 2019-2023","","26,720",""
"Persons per household, 2019-2023","","2.49",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","81.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.3%",""
"Households with a computer, percent, 2019-2023","","95.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.5%",""
"Persons without health insurance, under age 65 years, percent","","13.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","52.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","188,647",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","893,959",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","200,613",""
"Total retail sales, 2022 ($1,000)","(c)","1,480,884",""
"Total retail sales per capita, 2022","(c)","$20,605",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.6",""
"Median households income (in 2023 dollars), 2019-2023","","$55,070",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,030",""
"Persons in poverty, percent","","17.0%",""
"Total employer establishments, 2022","","1,460",""
"Total employment, 2022","","19,803",""
"Total annual payroll, 2022 ($1,000)","","918,601",""
"Total employment, percent change, 2021-2022","","-0.4%",""
"Total nonemployer establishments, 2022","","4,912",""
"All employer firms, Reference year 2022","","1,318",""
"Men-owned employer firms, Reference year 2022","","635",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","142",""
"Nonminority-owned employer firms, Reference year 2022","","926",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,012",""
"Population per square mile, 2020","","87.4",""
"Population per square mile, 2010","","84.7",""
"Land area in square miles, 2020","","797.55",""
"Land area in square miles, 2010","","797.57",""
"FIPS Code","","""12023""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
