"Fact","Fact Note","Gulf County, Florida","Value Note for Gulf County, Florida"
"Population estimates, July 1, 2024, (V2024)","","15,876",""
"Population estimates, July 1, 2023, (V2023)","","15,693",""
"Population estimates base, April 1, 2020, (V2024)","","14,195",""
"Population estimates base, April 1, 2020, (V2023)","","14,199",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","11.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","10.5%",""
"Population, Census, April 1, 2020","","14,192",""
"Population, Census, April 1, 2010","","15,863",""
"Persons under 5 years, percent","","3.7%",""
"Persons under 18 years, percent","","16.4%",""
"Persons 65 years and over, percent","","23.2%",""
"Female persons, percent","","45.2%",""
"White alone, percent","","82.1%",""
"Black alone, percent (a)","(a)","13.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","5.2%",""
"White alone, not Hispanic or Latino, percent","","77.6%",""
"Veterans, 2019-2023","","1,249",""
"Foreign-born persons, percent, 2019-2023","","3.6%",""
"Housing Units, July 1, 2023, (V2023)","","9,654",""
"Owner-occupied housing unit rate, 2019-2023","","80.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$235,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,410",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$514",""
"Median gross rent, 2019-2023","","$1,161",""
"Building Permits, 2023","","278",""
"Households, 2019-2023","","5,800",""
"Persons per household, 2019-2023","","2.11",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","79.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.7%",""
"Households with a computer, percent, 2019-2023","","94.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","16.6%",""
"Persons without health insurance, under age 65 years, percent","","14.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","43.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","48.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","51,332",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","51,500",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","3,668",""
"Total retail sales, 2022 ($1,000)","(c)","186,283",""
"Total retail sales per capita, 2022","(c)","$12,176",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.3",""
"Median households income (in 2023 dollars), 2019-2023","","$67,361",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,258",""
"Persons in poverty, percent","","14.9%",""
"Total employer establishments, 2022","","387",""
"Total employment, 2022","","2,504",""
"Total annual payroll, 2022 ($1,000)","","98,561",""
"Total employment, percent change, 2021-2022","","19.9%",""
"Total nonemployer establishments, 2022","","1,448",""
"All employer firms, Reference year 2022","","333",""
"Men-owned employer firms, Reference year 2022","","157",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","263",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","248",""
"Population per square mile, 2020","","25.6",""
"Population per square mile, 2010","","28.1",""
"Land area in square miles, 2020","","553.45",""
"Land area in square miles, 2010","","564.01",""
"FIPS Code","","""12045""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
