"Fact","Fact Note","Hardee County, Florida","Value Note for Hardee County, Florida"
"Population estimates, July 1, 2024, (V2024)","","26,068",""
"Population estimates, July 1, 2023, (V2023)","","25,760",""
"Population estimates base, April 1, 2020, (V2024)","","25,332",""
"Population estimates base, April 1, 2020, (V2023)","","25,330",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.7%",""
"Population, Census, April 1, 2020","","25,327",""
"Population, Census, April 1, 2010","","27,731",""
"Persons under 5 years, percent","","6.6%",""
"Persons under 18 years, percent","","25.1%",""
"Persons 65 years and over, percent","","16.7%",""
"Female persons, percent","","46.6%",""
"White alone, percent","","86.4%",""
"Black alone, percent (a)","(a)","8.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","1.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","42.5%",""
"White alone, not Hispanic or Latino, percent","","46.9%",""
"Veterans, 2019-2023","","920",""
"Foreign-born persons, percent, 2019-2023","","10.7%",""
"Housing Units, July 1, 2023, (V2023)","","9,991",""
"Owner-occupied housing unit rate, 2019-2023","","71.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$129,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,262",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$408",""
"Median gross rent, 2019-2023","","$954",""
"Building Permits, 2023","","73",""
"Households, 2019-2023","","8,148",""
"Persons per household, 2019-2023","","2.90",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","31.5%",""
"Households with a computer, percent, 2019-2023","","94.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","78.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","12.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.5%",""
"Persons without health insurance, under age 65 years, percent","","17.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","51.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","45.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","31,679",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","82,591",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","274,822",""
"Total retail sales per capita, 2022","(c)","$10,714",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.9",""
"Median households income (in 2023 dollars), 2019-2023","","$54,231",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,225",""
"Persons in poverty, percent","","20.5%",""
"Total employer establishments, 2022","","424",""
"Total employment, 2022","","4,761",""
"Total annual payroll, 2022 ($1,000)","","204,834",""
"Total employment, percent change, 2021-2022","","-3.5%",""
"Total nonemployer establishments, 2022","","1,571",""
"All employer firms, Reference year 2022","","368",""
"Men-owned employer firms, Reference year 2022","","168",""
"Women-owned employer firms, Reference year 2022","","62",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","256",""
"Veteran-owned employer firms, Reference year 2022","","27",""
"Nonveteran-owned employer firms, Reference year 2022","","274",""
"Population per square mile, 2020","","39.7",""
"Population per square mile, 2010","","43.5",""
"Land area in square miles, 2020","","637.57",""
"Land area in square miles, 2010","","637.78",""
"FIPS Code","","""12049""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
