"Fact","Fact Note","Hendry County, Florida","Value Note for Hendry County, Florida"
"Population estimates, July 1, 2024, (V2024)","","46,130",""
"Population estimates, July 1, 2023, (V2023)","","43,333",""
"Population estimates base, April 1, 2020, (V2024)","","39,619",""
"Population estimates base, April 1, 2020, (V2023)","","39,621",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","16.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","9.4%",""
"Population, Census, April 1, 2020","","39,619",""
"Population, Census, April 1, 2010","","39,140",""
"Persons under 5 years, percent","","6.5%",""
"Persons under 18 years, percent","","25.1%",""
"Persons 65 years and over, percent","","13.6%",""
"Female persons, percent","","45.6%",""
"White alone, percent","","82.7%",""
"Black alone, percent (a)","(a)","11.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.2%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","57.7%",""
"White alone, not Hispanic or Latino, percent","","29.0%",""
"Veterans, 2019-2023","","1,201",""
"Foreign-born persons, percent, 2019-2023","","28.3%",""
"Housing Units, July 1, 2023, (V2023)","","16,837",""
"Owner-occupied housing unit rate, 2019-2023","","72.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$189,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,379",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$430",""
"Median gross rent, 2019-2023","","$958",""
"Building Permits, 2023","","535",""
"Households, 2019-2023","","13,944",""
"Persons per household, 2019-2023","","2.76",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","51.0%",""
"Households with a computer, percent, 2019-2023","","91.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","69.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","10.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.9%",""
"Persons without health insurance, under age 65 years, percent","","24.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","81,419",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","133,717",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","23,127",""
"Total retail sales, 2022 ($1,000)","(c)","523,900",""
"Total retail sales per capita, 2022","(c)","$12,657",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","31.7",""
"Median households income (in 2023 dollars), 2019-2023","","$53,044",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,234",""
"Persons in poverty, percent","","22.1%",""
"Total employer establishments, 2022","","738",""
"Total employment, 2022","","7,262",""
"Total annual payroll, 2022 ($1,000)","","295,736",""
"Total employment, percent change, 2021-2022","","5.4%",""
"Total nonemployer establishments, 2022","","4,479",""
"All employer firms, Reference year 2022","","711",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","127",""
"Nonminority-owned employer firms, Reference year 2022","","452",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","564",""
"Population per square mile, 2020","","34.3",""
"Population per square mile, 2010","","34.0",""
"Land area in square miles, 2020","","1,155.95",""
"Land area in square miles, 2010","","1,152.75",""
"FIPS Code","","""12051""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
