"Fact","Fact Note","Indian River County, Florida","Value Note for Indian River County, Florida"
"Population estimates, July 1, 2024, (V2024)","","172,139",""
"Population estimates, July 1, 2023, (V2023)","","169,795",""
"Population estimates base, April 1, 2020, (V2024)","","159,789",""
"Population estimates base, April 1, 2020, (V2023)","","159,791",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","6.3%",""
"Population, Census, April 1, 2020","","159,788",""
"Population, Census, April 1, 2010","","138,028",""
"Persons under 5 years, percent","","3.8%",""
"Persons under 18 years, percent","","14.9%",""
"Persons 65 years and over, percent","","35.6%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","86.7%",""
"Black alone, percent (a)","(a)","9.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","1.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","14.1%",""
"White alone, not Hispanic or Latino, percent","","73.8%",""
"Veterans, 2019-2023","","14,078",""
"Foreign-born persons, percent, 2019-2023","","9.9%",""
"Housing Units, July 1, 2023, (V2023)","","87,606",""
"Owner-occupied housing unit rate, 2019-2023","","79.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$314,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,649",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$640",""
"Median gross rent, 2019-2023","","$1,284",""
"Building Permits, 2023","","1,656",""
"Households, 2019-2023","","68,696",""
"Persons per household, 2019-2023","","2.36",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","14.3%",""
"Households with a computer, percent, 2019-2023","","95.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","33.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.4%",""
"Persons without health insurance, under age 65 years, percent","","14.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","48.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","46.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","473,465",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,591,765",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","121,758",""
"Total retail sales, 2022 ($1,000)","(c)","3,286,911",""
"Total retail sales per capita, 2022","(c)","$19,651",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.7",""
"Median households income (in 2023 dollars), 2019-2023","","$71,049",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,273",""
"Persons in poverty, percent","","11.3%",""
"Total employer establishments, 2022","","4,789",""
"Total employment, 2022","","50,149",""
"Total annual payroll, 2022 ($1,000)","","2,405,434",""
"Total employment, percent change, 2021-2022","","3.4%",""
"Total nonemployer establishments, 2022","","17,859",""
"All employer firms, Reference year 2022","","4,314",""
"Men-owned employer firms, Reference year 2022","","2,476",""
"Women-owned employer firms, Reference year 2022","","902",""
"Minority-owned employer firms, Reference year 2022","","555",""
"Nonminority-owned employer firms, Reference year 2022","","3,339",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","3,639",""
"Population per square mile, 2020","","317.8",""
"Population per square mile, 2010","","274.5",""
"Land area in square miles, 2020","","502.81",""
"Land area in square miles, 2010","","502.87",""
"FIPS Code","","""12061""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
