"Fact","Fact Note","Lee County, Florida","Value Note for Lee County, Florida"
"Population estimates, July 1, 2024, (V2024)","","860,959",""
"Population estimates, July 1, 2023, (V2023)","","834,573",""
"Population estimates base, April 1, 2020, (V2024)","","760,822",""
"Population estimates base, April 1, 2020, (V2023)","","760,814",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","13.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","9.7%",""
"Population, Census, April 1, 2020","","760,822",""
"Population, Census, April 1, 2010","","618,754",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","17.1%",""
"Persons 65 years and over, percent","","29.0%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","86.2%",""
"Black alone, percent (a)","(a)","9.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","1.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","25.1%",""
"White alone, not Hispanic or Latino, percent","","63.2%",""
"Veterans, 2019-2023","","52,360",""
"Foreign-born persons, percent, 2019-2023","","17.9%",""
"Housing Units, July 1, 2023, (V2023)","","452,080",""
"Owner-occupied housing unit rate, 2019-2023","","74.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$326,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,803",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$706",""
"Median gross rent, 2019-2023","","$1,597",""
"Building Permits, 2023","","13,556",""
"Households, 2019-2023","","319,588",""
"Persons per household, 2019-2023","","2.44",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","24.4%",""
"Households with a computer, percent, 2019-2023","","96.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.3%",""
"Persons without health insurance, under age 65 years, percent","","17.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","48.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,902,730",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","8,027,276",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","1,771,683",""
"Total retail sales, 2022 ($1,000)","(c)","17,670,329",""
"Total retail sales per capita, 2022","(c)","$21,487",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.4",""
"Median households income (in 2023 dollars), 2019-2023","","$73,099",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,365",""
"Persons in poverty, percent","","12.1%",""
"Total employer establishments, 2022","","22,176",""
"Total employment, 2022","","255,271",""
"Total annual payroll, 2022 ($1,000)","","13,307,456",""
"Total employment, percent change, 2021-2022","","9.4%",""
"Total nonemployer establishments, 2022","","94,104",""
"All employer firms, Reference year 2022","","19,122",""
"Men-owned employer firms, Reference year 2022","","11,073",""
"Women-owned employer firms, Reference year 2022","","4,212",""
"Minority-owned employer firms, Reference year 2022","","3,776",""
"Nonminority-owned employer firms, Reference year 2022","","13,816",""
"Veteran-owned employer firms, Reference year 2022","","921",""
"Nonveteran-owned employer firms, Reference year 2022","","16,669",""
"Population per square mile, 2020","","974.2",""
"Population per square mile, 2010","","788.7",""
"Land area in square miles, 2020","","781.01",""
"Land area in square miles, 2010","","784.51",""
"FIPS Code","","""12071""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
