"Fact","Fact Note","Monroe County, Florida","Value Note for Monroe County, Florida"
"Population estimates, July 1, 2024, (V2024)","","80,908",""
"Population estimates, July 1, 2023, (V2023)","","80,614",""
"Population estimates base, April 1, 2020, (V2024)","","82,870",""
"Population estimates base, April 1, 2020, (V2023)","","82,872",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.7%",""
"Population, Census, April 1, 2020","","82,874",""
"Population, Census, April 1, 2010","","73,090",""
"Persons under 5 years, percent","","4.2%",""
"Persons under 18 years, percent","","15.4%",""
"Persons 65 years and over, percent","","25.4%",""
"Female persons, percent","","48.0%",""
"White alone, percent","","88.4%",""
"Black alone, percent (a)","(a)","7.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","24.8%",""
"White alone, not Hispanic or Latino, percent","","65.0%",""
"Veterans, 2019-2023","","5,888",""
"Foreign-born persons, percent, 2019-2023","","19.3%",""
"Housing Units, July 1, 2023, (V2023)","","55,144",""
"Owner-occupied housing unit rate, 2019-2023","","63.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$723,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$3,220",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$835",""
"Median gross rent, 2019-2023","","$1,959",""
"Building Permits, 2023","","652",""
"Households, 2019-2023","","34,630",""
"Persons per household, 2019-2023","","2.32",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","21.2%",""
"Households with a computer, percent, 2019-2023","","96.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","37.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.6%",""
"Persons without health insurance, under age 65 years, percent","","15.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,245,213",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","434,560",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","435,521",""
"Total retail sales, 2022 ($1,000)","(c)","2,157,198",""
"Total retail sales per capita, 2022","(c)","$26,430",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.0",""
"Median households income (in 2023 dollars), 2019-2023","","$82,430",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$57,683",""
"Persons in poverty, percent","","10.0%",""
"Total employer establishments, 2022","","4,113",""
"Total employment, 2022","","35,233",""
"Total annual payroll, 2022 ($1,000)","","1,676,319",""
"Total employment, percent change, 2021-2022","","10.6%",""
"Total nonemployer establishments, 2022","","14,877",""
"All employer firms, Reference year 2022","","3,518",""
"Men-owned employer firms, Reference year 2022","","1,963",""
"Women-owned employer firms, Reference year 2022","","741",""
"Minority-owned employer firms, Reference year 2022","","729",""
"Nonminority-owned employer firms, Reference year 2022","","2,396",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","3,040",""
"Population per square mile, 2020","","84.3",""
"Population per square mile, 2010","","74.3",""
"Land area in square miles, 2020","","983.04",""
"Land area in square miles, 2010","","983.28",""
"FIPS Code","","""12087""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
