"Fact","Fact Note","Nassau County, Florida","Value Note for Nassau County, Florida"
"Population estimates, July 1, 2024, (V2024)","","104,376",""
"Population estimates, July 1, 2023, (V2023)","","101,501",""
"Population estimates base, April 1, 2020, (V2024)","","90,356",""
"Population estimates base, April 1, 2020, (V2023)","","90,353",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","15.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","12.3%",""
"Population, Census, April 1, 2020","","90,352",""
"Population, Census, April 1, 2010","","73,314",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","19.2%",""
"Persons 65 years and over, percent","","24.3%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","89.5%",""
"Black alone, percent (a)","(a)","6.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","1.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","6.0%",""
"White alone, not Hispanic or Latino, percent","","84.4%",""
"Veterans, 2019-2023","","8,787",""
"Foreign-born persons, percent, 2019-2023","","3.9%",""
"Housing Units, July 1, 2023, (V2023)","","46,613",""
"Owner-occupied housing unit rate, 2019-2023","","83.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$351,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,775",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$576",""
"Median gross rent, 2019-2023","","$1,335",""
"Building Permits, 2023","","1,547",""
"Households, 2019-2023","","38,112",""
"Persons per household, 2019-2023","","2.46",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.3%",""
"Households with a computer, percent, 2019-2023","","98.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","94.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","34.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.0%",""
"Persons without health insurance, under age 65 years, percent","","9.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","613,642",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","399,523",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","143,406",""
"Total retail sales, 2022 ($1,000)","(c)","1,305,109",""
"Total retail sales per capita, 2022","(c)","$13,341",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.8",""
"Median households income (in 2023 dollars), 2019-2023","","$88,900",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,463",""
"Persons in poverty, percent","","9.5%",""
"Total employer establishments, 2022","","2,217",""
"Total employment, 2022","","21,488",""
"Total annual payroll, 2022 ($1,000)","","926,327",""
"Total employment, percent change, 2021-2022","","8.3%",""
"Total nonemployer establishments, 2022","","8,735",""
"All employer firms, Reference year 2022","","1,817",""
"Men-owned employer firms, Reference year 2022","","869",""
"Women-owned employer firms, Reference year 2022","","398",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","1,442",""
"Veteran-owned employer firms, Reference year 2022","","156",""
"Nonveteran-owned employer firms, Reference year 2022","","1,424",""
"Population per square mile, 2020","","139.3",""
"Population per square mile, 2010","","113.0",""
"Land area in square miles, 2020","","648.68",""
"Land area in square miles, 2010","","648.64",""
"FIPS Code","","""12089""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
