"Fact","Fact Note","Orange County, Florida","Value Note for Orange County, Florida"
"Population estimates, July 1, 2024, (V2024)","","1,533,646",""
"Population estimates, July 1, 2023, (V2023)","","1,471,416",""
"Population estimates base, April 1, 2020, (V2024)","","1,429,910",""
"Population estimates base, April 1, 2020, (V2023)","","1,429,908",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.9%",""
"Population, Census, April 1, 2020","","1,429,908",""
"Population, Census, April 1, 2010","","1,145,956",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","13.5%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","67.5%",""
"Black alone, percent (a)","(a)","22.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","6.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.9%",""
"Hispanic or Latino, percent (b)","(b)","33.8%",""
"White alone, not Hispanic or Latino, percent","","38.2%",""
"Veterans, 2019-2023","","60,385",""
"Foreign-born persons, percent, 2019-2023","","23.5%",""
"Housing Units, July 1, 2023, (V2023)","","599,452",""
"Owner-occupied housing unit rate, 2019-2023","","57.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$358,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,950",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$664",""
"Median gross rent, 2019-2023","","$1,675",""
"Building Permits, 2023","","8,690",""
"Households, 2019-2023","","508,907",""
"Persons per household, 2019-2023","","2.76",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","37.9%",""
"Households with a computer, percent, 2019-2023","","97.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","38.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.0%",""
"Persons without health insurance, under age 65 years, percent","","13.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","14,474,510",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","16,169,698",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","9,216,072",""
"Total retail sales, 2022 ($1,000)","(c)","37,163,466",""
"Total retail sales per capita, 2022","(c)","$25,599",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.4",""
"Median households income (in 2023 dollars), 2019-2023","","$77,011",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,640",""
"Persons in poverty, percent","","12.4%",""
"Total employer establishments, 2022","","44,612",""
"Total employment, 2022","","817,584",""
"Total annual payroll, 2022 ($1,000)","","46,508,318",""
"Total employment, percent change, 2021-2022","","10.7%",""
"Total nonemployer establishments, 2022","","200,301",""
"All employer firms, Reference year 2022","","33,746",""
"Men-owned employer firms, Reference year 2022","","20,084",""
"Women-owned employer firms, Reference year 2022","","7,791",""
"Minority-owned employer firms, Reference year 2022","","11,387",""
"Nonminority-owned employer firms, Reference year 2022","","19,330",""
"Veteran-owned employer firms, Reference year 2022","","1,338",""
"Nonveteran-owned employer firms, Reference year 2022","","29,589",""
"Population per square mile, 2020","","1,585.2",""
"Population per square mile, 2010","","1,268.5",""
"Land area in square miles, 2020","","902.02",""
"Land area in square miles, 2010","","903.43",""
"FIPS Code","","""12095""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
