"Fact","Fact Note","Osceola County, Florida","Value Note for Osceola County, Florida"
"Population estimates, July 1, 2024, (V2024)","","468,058",""
"Population estimates, July 1, 2023, (V2023)","","437,784",""
"Population estimates base, April 1, 2020, (V2024)","","388,661",""
"Population estimates base, April 1, 2020, (V2023)","","388,664",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","20.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","12.6%",""
"Population, Census, April 1, 2020","","388,656",""
"Population, Census, April 1, 2010","","268,685",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.7%",""
"Persons 65 years and over, percent","","13.5%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","76.7%",""
"Black alone, percent (a)","(a)","15.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","3.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent (b)","(b)","56.1%",""
"White alone, not Hispanic or Latino, percent","","28.2%",""
"Veterans, 2019-2023","","18,678",""
"Foreign-born persons, percent, 2019-2023","","25.0%",""
"Housing Units, July 1, 2023, (V2023)","","179,286",""
"Owner-occupied housing unit rate, 2019-2023","","66.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$317,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,776",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$592",""
"Median gross rent, 2019-2023","","$1,651",""
"Building Permits, 2023","","8,255",""
"Households, 2019-2023","","131,365",""
"Persons per household, 2019-2023","","3.08",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","53.6%",""
"Households with a computer, percent, 2019-2023","","96.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.5%",""
"Persons without health insurance, under age 65 years, percent","","13.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,975,816",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","3,185,767",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","400,140",""
"Total retail sales, 2022 ($1,000)","(c)","5,963,635",""
"Total retail sales per capita, 2022","(c)","$14,114",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","35.4",""
"Median households income (in 2023 dollars), 2019-2023","","$68,711",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,000",""
"Persons in poverty, percent","","10.9%",""
"Total employer establishments, 2022","","8,262",""
"Total employment, 2022","","93,080",""
"Total annual payroll, 2022 ($1,000)","","3,629,524",""
"Total employment, percent change, 2021-2022","","9.1%",""
"Total nonemployer establishments, 2022","","62,807",""
"All employer firms, Reference year 2022","","6,818",""
"Men-owned employer firms, Reference year 2022","","3,828",""
"Women-owned employer firms, Reference year 2022","","1,531",""
"Minority-owned employer firms, Reference year 2022","","3,105",""
"Nonminority-owned employer firms, Reference year 2022","","3,144",""
"Veteran-owned employer firms, Reference year 2022","","204",""
"Nonveteran-owned employer firms, Reference year 2022","","6,098",""
"Population per square mile, 2020","","292.8",""
"Population per square mile, 2010","","202.4",""
"Land area in square miles, 2020","","1,327.55",""
"Land area in square miles, 2010","","1,327.45",""
"FIPS Code","","""12097""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
