"Fact","Fact Note","Pasco County, Florida","Value Note for Pasco County, Florida"
"Population estimates, July 1, 2024, (V2024)","","659,114",""
"Population estimates, July 1, 2023, (V2023)","","632,996",""
"Population estimates base, April 1, 2020, (V2024)","","561,890",""
"Population estimates base, April 1, 2020, (V2023)","","561,893",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","17.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","12.7%",""
"Population, Census, April 1, 2020","","561,891",""
"Population, Census, April 1, 2010","","464,697",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","20.2%",""
"Persons 65 years and over, percent","","21.8%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","84.5%",""
"Black alone, percent (a)","(a)","8.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","3.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent (b)","(b)","19.2%",""
"White alone, not Hispanic or Latino, percent","","67.6%",""
"Veterans, 2019-2023","","46,932",""
"Foreign-born persons, percent, 2019-2023","","11.7%",""
"Housing Units, July 1, 2023, (V2023)","","279,603",""
"Owner-occupied housing unit rate, 2019-2023","","75.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$265,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,709",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$499",""
"Median gross rent, 2019-2023","","$1,372",""
"Building Permits, 2023","","7,667",""
"Households, 2019-2023","","229,860",""
"Persons per household, 2019-2023","","2.53",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","18.2%",""
"Households with a computer, percent, 2019-2023","","95.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.5%",""
"Persons without health insurance, under age 65 years, percent","","12.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,097,430",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","4,098,333",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","426,261",""
"Total retail sales, 2022 ($1,000)","(c)","10,912,714",""
"Total retail sales per capita, 2022","(c)","$17,915",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.9",""
"Median households income (in 2023 dollars), 2019-2023","","$67,384",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,757",""
"Persons in poverty, percent","","10.5%",""
"Total employer establishments, 2022","","11,554",""
"Total employment, 2022","","117,819",""
"Total annual payroll, 2022 ($1,000)","","5,295,798",""
"Total employment, percent change, 2021-2022","","7.5%",""
"Total nonemployer establishments, 2022","","57,448",""
"All employer firms, Reference year 2022","","9,093",""
"Men-owned employer firms, Reference year 2022","","5,083",""
"Women-owned employer firms, Reference year 2022","","1,924",""
"Minority-owned employer firms, Reference year 2022","","1,888",""
"Nonminority-owned employer firms, Reference year 2022","","6,262",""
"Veteran-owned employer firms, Reference year 2022","","321",""
"Nonveteran-owned employer firms, Reference year 2022","","7,708",""
"Population per square mile, 2020","","752.6",""
"Population per square mile, 2010","","622.2",""
"Land area in square miles, 2020","","746.62",""
"Land area in square miles, 2010","","746.89",""
"FIPS Code","","""12101""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
