"Fact","Fact Note","Santa Rosa County, Florida","Value Note for Santa Rosa County, Florida"
"Population estimates, July 1, 2024, (V2024)","","207,653",""
"Population estimates, July 1, 2023, (V2023)","","203,162",""
"Population estimates base, April 1, 2020, (V2024)","","187,998",""
"Population estimates base, April 1, 2020, (V2023)","","187,999",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","10.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","8.1%",""
"Population, Census, April 1, 2020","","188,000",""
"Population, Census, April 1, 2010","","151,372",""
"Persons under 5 years, percent","","5.2%",""
"Persons under 18 years, percent","","21.8%",""
"Persons 65 years and over, percent","","17.0%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","86.1%",""
"Black alone, percent (a)","(a)","6.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","2.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.9%",""
"Hispanic or Latino, percent (b)","(b)","7.1%",""
"White alone, not Hispanic or Latino, percent","","80.2%",""
"Veterans, 2019-2023","","23,939",""
"Foreign-born persons, percent, 2019-2023","","4.7%",""
"Housing Units, July 1, 2023, (V2023)","","81,808",""
"Owner-occupied housing unit rate, 2019-2023","","80.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$302,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,761",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$543",""
"Median gross rent, 2019-2023","","$1,445",""
"Building Permits, 2023","","1,774",""
"Households, 2019-2023","","71,250",""
"Persons per household, 2019-2023","","2.65",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.6%",""
"Households with a computer, percent, 2019-2023","","96.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","31.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.4%",""
"Persons without health insurance, under age 65 years, percent","","9.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","355,320",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","683,525",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","87,695",""
"Total retail sales, 2022 ($1,000)","(c)","2,464,854",""
"Total retail sales per capita, 2022","(c)","$12,436",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.2",""
"Median households income (in 2023 dollars), 2019-2023","","$88,968",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$41,388",""
"Persons in poverty, percent","","8.1%",""
"Total employer establishments, 2022","","3,344",""
"Total employment, 2022","","30,988",""
"Total annual payroll, 2022 ($1,000)","","1,255,807",""
"Total employment, percent change, 2021-2022","","2.5%",""
"Total nonemployer establishments, 2022","","16,451",""
"All employer firms, Reference year 2022","","2,389",""
"Men-owned employer firms, Reference year 2022","","1,356",""
"Women-owned employer firms, Reference year 2022","","509",""
"Minority-owned employer firms, Reference year 2022","","192",""
"Nonminority-owned employer firms, Reference year 2022","","1,916",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,826",""
"Population per square mile, 2020","","185.7",""
"Population per square mile, 2010","","149.6",""
"Land area in square miles, 2020","","1,012.40",""
"Land area in square miles, 2010","","1,011.61",""
"FIPS Code","","""12113""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
