"Fact","Fact Note","Seminole County, Florida","Value Note for Seminole County, Florida"
"Population estimates, July 1, 2024, (V2024)","","494,605",""
"Population estimates, July 1, 2023, (V2023)","","484,271",""
"Population estimates base, April 1, 2020, (V2024)","","470,852",""
"Population estimates base, April 1, 2020, (V2023)","","470,857",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.8%",""
"Population, Census, April 1, 2020","","470,856",""
"Population, Census, April 1, 2010","","422,718",""
"Persons under 5 years, percent","","4.9%",""
"Persons under 18 years, percent","","20.4%",""
"Persons 65 years and over, percent","","17.0%",""
"Female persons, percent","","51.4%",""
"White alone, percent","","76.6%",""
"Black alone, percent (a)","(a)","13.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","5.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent (b)","(b)","24.3%",""
"White alone, not Hispanic or Latino, percent","","55.5%",""
"Veterans, 2019-2023","","25,890",""
"Foreign-born persons, percent, 2019-2023","","15.0%",""
"Housing Units, July 1, 2023, (V2023)","","202,797",""
"Owner-occupied housing unit rate, 2019-2023","","65.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$357,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,935",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$641",""
"Median gross rent, 2019-2023","","$1,686",""
"Building Permits, 2023","","2,154",""
"Households, 2019-2023","","185,396",""
"Persons per household, 2019-2023","","2.54",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","23.3%",""
"Households with a computer, percent, 2019-2023","","97.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","42.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.0%",""
"Persons without health insurance, under age 65 years, percent","","11.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,377,770",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","3,563,816",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","906,876",""
"Total retail sales, 2022 ($1,000)","(c)","11,325,932",""
"Total retail sales per capita, 2022","(c)","$23,664",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.2",""
"Median households income (in 2023 dollars), 2019-2023","","$83,030",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$44,349",""
"Persons in poverty, percent","","9.2%",""
"Total employer establishments, 2022","","14,751",""
"Total employment, 2022","","188,895",""
"Total annual payroll, 2022 ($1,000)","","10,491,324",""
"Total employment, percent change, 2021-2022","","4.2%",""
"Total nonemployer establishments, 2022","","54,002",""
"All employer firms, Reference year 2022","","12,041",""
"Men-owned employer firms, Reference year 2022","","6,889",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","3,093",""
"Nonminority-owned employer firms, Reference year 2022","","7,890",""
"Veteran-owned employer firms, Reference year 2022","","656",""
"Nonveteran-owned employer firms, Reference year 2022","","10,270",""
"Population per square mile, 2020","","1,521.9",""
"Population per square mile, 2010","","1,367.0",""
"Land area in square miles, 2020","","309.38",""
"Land area in square miles, 2010","","309.22",""
"FIPS Code","","""12117""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
