"Fact","Fact Note","Walton County, Florida","Value Note for Walton County, Florida"
"Population estimates, July 1, 2024, (V2024)","","89,666",""
"Population estimates, July 1, 2023, (V2023)","","86,354",""
"Population estimates base, April 1, 2020, (V2024)","","75,309",""
"Population estimates base, April 1, 2020, (V2023)","","75,307",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","19.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","14.7%",""
"Population, Census, April 1, 2020","","75,305",""
"Population, Census, April 1, 2010","","55,043",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","20.7%",""
"Persons 65 years and over, percent","","20.5%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","89.7%",""
"Black alone, percent (a)","(a)","5.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","1.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent (b)","(b)","8.5%",""
"White alone, not Hispanic or Latino, percent","","82.2%",""
"Veterans, 2019-2023","","6,626",""
"Foreign-born persons, percent, 2019-2023","","8.1%",""
"Housing Units, July 1, 2023, (V2023)","","63,663",""
"Owner-occupied housing unit rate, 2019-2023","","77.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$376,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,985",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$468",""
"Median gross rent, 2019-2023","","$1,674",""
"Building Permits, 2023","","2,794",""
"Households, 2019-2023","","32,659",""
"Persons per household, 2019-2023","","2.39",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.7%",""
"Households with a computer, percent, 2019-2023","","96.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","34.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.7%",""
"Persons without health insurance, under age 65 years, percent","","13.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","750,614",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","366,340",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","58,738",""
"Total retail sales, 2022 ($1,000)","(c)","2,219,008",""
"Total retail sales per capita, 2022","(c)","$26,606",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.0",""
"Median households income (in 2023 dollars), 2019-2023","","$79,281",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$49,119",""
"Persons in poverty, percent","","10.9%",""
"Total employer establishments, 2022","","3,199",""
"Total employment, 2022","","26,069",""
"Total annual payroll, 2022 ($1,000)","","1,262,738",""
"Total employment, percent change, 2021-2022","","9.1%",""
"Total nonemployer establishments, 2022","","11,656",""
"All employer firms, Reference year 2022","","2,719",""
"Men-owned employer firms, Reference year 2022","","1,449",""
"Women-owned employer firms, Reference year 2022","","628",""
"Minority-owned employer firms, Reference year 2022","","140",""
"Nonminority-owned employer firms, Reference year 2022","","2,337",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","2,279",""
"Population per square mile, 2020","","72.5",""
"Population per square mile, 2010","","53.0",""
"Land area in square miles, 2020","","1,038.29",""
"Land area in square miles, 2010","","1,037.63",""
"FIPS Code","","""12131""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
