"Fact","Fact Note","Appling County, Georgia","Value Note for Appling County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","18,669",""
"Population estimates, July 1, 2023, (V2023)","","18,457",""
"Population estimates base, April 1, 2020, (V2024)","","18,443",""
"Population estimates base, April 1, 2020, (V2023)","","18,445",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.1%",""
"Population, Census, April 1, 2020","","18,444",""
"Population, Census, April 1, 2010","","18,236",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","24.3%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","76.9%",""
"Black alone, percent (a)","(a)","19.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","11.1%",""
"White alone, not Hispanic or Latino, percent","","67.8%",""
"Veterans, 2019-2023","","615",""
"Foreign-born persons, percent, 2019-2023","","6.2%",""
"Housing Units, July 1, 2023, (V2023)","","8,584",""
"Owner-occupied housing unit rate, 2019-2023","","71.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$81,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,127",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$343",""
"Median gross rent, 2019-2023","","$711",""
"Building Permits, 2023","","2",""
"Households, 2019-2023","","7,037",""
"Persons per household, 2019-2023","","2.55",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.8%",""
"Households with a computer, percent, 2019-2023","","90.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","72.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","81.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","9.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.6%",""
"Persons without health insurance, under age 65 years, percent","","18.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","52.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","46.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","33,018",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","127,935",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","740,105",""
"Total retail sales per capita, 2022","(c)","$40,142",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.2",""
"Median households income (in 2023 dollars), 2019-2023","","$43,728",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$25,218",""
"Persons in poverty, percent","","21.1%",""
"Total employer establishments, 2022","","388",""
"Total employment, 2022","","5,619",""
"Total annual payroll, 2022 ($1,000)","","354,807",""
"Total employment, percent change, 2021-2022","","-1.0%",""
"Total nonemployer establishments, 2022","","1,387",""
"All employer firms, Reference year 2022","","221",""
"Men-owned employer firms, Reference year 2022","","107",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","123",""
"Veteran-owned employer firms, Reference year 2022","","5",""
"Nonveteran-owned employer firms, Reference year 2022","","133",""
"Population per square mile, 2020","","36.3",""
"Population per square mile, 2010","","36.0",""
"Land area in square miles, 2020","","508.27",""
"Land area in square miles, 2010","","507.08",""
"FIPS Code","","""13001""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
