"Fact","Fact Note","Atkinson County, Georgia","Value Note for Atkinson County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","8,435",""
"Population estimates, July 1, 2023, (V2023)","","8,293",""
"Population estimates base, April 1, 2020, (V2024)","","8,289",""
"Population estimates base, April 1, 2020, (V2023)","","8,286",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.1%",""
"Population, Census, April 1, 2020","","8,286",""
"Population, Census, April 1, 2010","","8,375",""
"Persons under 5 years, percent","","7.2%",""
"Persons under 18 years, percent","","25.1%",""
"Persons 65 years and over, percent","","14.7%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","76.2%",""
"Black alone, percent (a)","(a)","16.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.0%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","1.4%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","28.6%",""
"White alone, not Hispanic or Latino, percent","","53.2%",""
"Veterans, 2019-2023","","280",""
"Foreign-born persons, percent, 2019-2023","","13.0%",""
"Housing Units, July 1, 2023, (V2023)","","3,546",""
"Owner-occupied housing unit rate, 2019-2023","","64.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$76,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$971",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$375",""
"Median gross rent, 2019-2023","","$620",""
"Building Permits, 2023","","22",""
"Households, 2019-2023","","3,189",""
"Persons per household, 2019-2023","","2.58",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","94.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","24.8%",""
"Households with a computer, percent, 2019-2023","","90.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","78.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","71.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","9.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","20.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","46.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,652",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","44,961",""
"Total retail sales, 2022 ($1,000)","(c)","86,416",""
"Total retail sales per capita, 2022","(c)","$10,590",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.9",""
"Median households income (in 2023 dollars), 2019-2023","","$38,438",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$23,886",""
"Persons in poverty, percent","","22.4%",""
"Total employer establishments, 2022","","92",""
"Total employment, 2022","","1,245",""
"Total annual payroll, 2022 ($1,000)","","58,685",""
"Total employment, percent change, 2021-2022","","-19.2%",""
"Total nonemployer establishments, 2022","","668",""
"All employer firms, Reference year 2022","","114",""
"Men-owned employer firms, Reference year 2022","","96",""
"Women-owned employer firms, Reference year 2022","","3",""
"Minority-owned employer firms, Reference year 2022","","4",""
"Nonminority-owned employer firms, Reference year 2022","","100",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","50",""
"Population per square mile, 2020","","24.2",""
"Population per square mile, 2010","","24.7",""
"Land area in square miles, 2020","","342.72",""
"Land area in square miles, 2010","","339.38",""
"FIPS Code","","""13003""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
