"Fact","Fact Note","Baldwin County, Georgia","Value Note for Baldwin County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","43,644",""
"Population estimates, July 1, 2023, (V2023)","","43,396",""
"Population estimates base, April 1, 2020, (V2024)","","43,791",""
"Population estimates base, April 1, 2020, (V2023)","","43,789",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.9%",""
"Population, Census, April 1, 2020","","43,799",""
"Population, Census, April 1, 2010","","45,720",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","18.4%",""
"Persons 65 years and over, percent","","18.0%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","54.0%",""
"Black alone, percent (a)","(a)","42.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","3.1%",""
"White alone, not Hispanic or Latino, percent","","51.9%",""
"Veterans, 2019-2023","","1,741",""
"Foreign-born persons, percent, 2019-2023","","2.6%",""
"Housing Units, July 1, 2023, (V2023)","","20,465",""
"Owner-occupied housing unit rate, 2019-2023","","64.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$164,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,368",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$510",""
"Median gross rent, 2019-2023","","$865",""
"Building Permits, 2023","","93",""
"Households, 2019-2023","","16,075",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.0%",""
"Households with a computer, percent, 2019-2023","","92.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.7%",""
"Persons without health insurance, under age 65 years, percent","","15.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","47.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","45.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","137,676",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","456,330",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","11,590",""
"Total retail sales, 2022 ($1,000)","(c)","922,498",""
"Total retail sales per capita, 2022","(c)","$21,142",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.1",""
"Median households income (in 2023 dollars), 2019-2023","","$55,413",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,573",""
"Persons in poverty, percent","","21.4%",""
"Total employer establishments, 2022","","860",""
"Total employment, 2022","","13,430",""
"Total annual payroll, 2022 ($1,000)","","565,366",""
"Total employment, percent change, 2021-2022","","4.2%",""
"Total nonemployer establishments, 2022","","4,146",""
"All employer firms, Reference year 2022","","620",""
"Men-owned employer firms, Reference year 2022","","399",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","292",""
"Veteran-owned employer firms, Reference year 2022","","8",""
"Nonveteran-owned employer firms, Reference year 2022","","469",""
"Population per square mile, 2020","","169.3",""
"Population per square mile, 2010","","177.3",""
"Land area in square miles, 2020","","258.70",""
"Land area in square miles, 2010","","257.84",""
"FIPS Code","","""13009""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
