"Fact","Fact Note","Bartow County, Georgia","Value Note for Bartow County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","117,508",""
"Population estimates, July 1, 2023, (V2023)","","115,041",""
"Population estimates base, April 1, 2020, (V2024)","","108,900",""
"Population estimates base, April 1, 2020, (V2023)","","108,897",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","5.6%",""
"Population, Census, April 1, 2020","","108,901",""
"Population, Census, April 1, 2010","","100,157",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.0%",""
"Persons 65 years and over, percent","","15.2%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","83.6%",""
"Black alone, percent (a)","(a)","11.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","1.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","10.9%",""
"White alone, not Hispanic or Latino, percent","","74.1%",""
"Veterans, 2019-2023","","6,136",""
"Foreign-born persons, percent, 2019-2023","","4.6%",""
"Housing Units, July 1, 2023, (V2023)","","46,910",""
"Owner-occupied housing unit rate, 2019-2023","","73.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$262,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,576",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$514",""
"Median gross rent, 2019-2023","","$1,202",""
"Building Permits, 2023","","1,607",""
"Households, 2019-2023","","39,664",""
"Persons per household, 2019-2023","","2.78",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.2%",""
"Households with a computer, percent, 2019-2023","","94.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.7%",""
"Persons without health insurance, under age 65 years, percent","","15.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","317,344",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","501,797",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","532,246",""
"Total retail sales, 2022 ($1,000)","(c)","2,101,872",""
"Total retail sales per capita, 2022","(c)","$18,631",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.0",""
"Median households income (in 2023 dollars), 2019-2023","","$79,431",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,951",""
"Persons in poverty, percent","","9.7%",""
"Total employer establishments, 2022","","2,346",""
"Total employment, 2022","","38,213",""
"Total annual payroll, 2022 ($1,000)","","1,936,416",""
"Total employment, percent change, 2021-2022","","5.9%",""
"Total nonemployer establishments, 2022","","10,306",""
"All employer firms, Reference year 2022","","2,025",""
"Men-owned employer firms, Reference year 2022","","1,147",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","254",""
"Nonminority-owned employer firms, Reference year 2022","","1,463",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,528",""
"Population per square mile, 2020","","237.3",""
"Population per square mile, 2010","","217.9",""
"Land area in square miles, 2020","","458.91",""
"Land area in square miles, 2010","","459.54",""
"FIPS Code","","""13015""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
