"Fact","Fact Note","Calhoun County, Georgia","Value Note for Calhoun County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","5,441",""
"Population estimates, July 1, 2023, (V2023)","","5,457",""
"Population estimates base, April 1, 2020, (V2024)","","5,575",""
"Population estimates base, April 1, 2020, (V2023)","","5,575",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.1%",""
"Population, Census, April 1, 2020","","5,573",""
"Population, Census, April 1, 2010","","6,694",""
"Persons under 5 years, percent","","3.9%",""
"Persons under 18 years, percent","","14.9%",""
"Persons 65 years and over, percent","","17.6%",""
"Female persons, percent","","37.5%",""
"White alone, percent","","34.2%",""
"Black alone, percent (a)","(a)","62.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","2.4%",""
"White alone, not Hispanic or Latino, percent","","32.5%",""
"Veterans, 2019-2023","","287",""
"Foreign-born persons, percent, 2019-2023","","2.4%",""
"Housing Units, July 1, 2023, (V2023)","","2,042",""
"Owner-occupied housing unit rate, 2019-2023","","62.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$82,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,192",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$419",""
"Median gross rent, 2019-2023","","$638",""
"Building Permits, 2023","","6",""
"Households, 2019-2023","","1,508",""
"Persons per household, 2019-2023","","2.53",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","82.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.1%",""
"Households with a computer, percent, 2019-2023","","83.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","76.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","77.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","12.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.3%",""
"Persons without health insurance, under age 65 years, percent","","15.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","34.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","45.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","357",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","5,085",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","17,352",""
"Total retail sales per capita, 2022","(c)","$3,170",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.7",""
"Median households income (in 2023 dollars), 2019-2023","","$55,714",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$19,913",""
"Persons in poverty, percent","","35.5%",""
"Total employer establishments, 2022","","65",""
"Total employment, 2022","","633",""
"Total annual payroll, 2022 ($1,000)","","28,407",""
"Total employment, percent change, 2021-2022","","-0.9%",""
"Total nonemployer establishments, 2022","","447",""
"All employer firms, Reference year 2022","","29",""
"Men-owned employer firms, Reference year 2022","","20",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","20",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","20",""
"Population per square mile, 2020","","19.9",""
"Population per square mile, 2010","","23.9",""
"Land area in square miles, 2020","","280.38",""
"Land area in square miles, 2010","","280.37",""
"FIPS Code","","""13037""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
