"Fact","Fact Note","Chattahoochee County, Georgia","Value Note for Chattahoochee County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","8,548",""
"Population estimates, July 1, 2023, (V2023)","","8,661",""
"Population estimates base, April 1, 2020, (V2024)","","9,569",""
"Population estimates base, April 1, 2020, (V2023)","","9,566",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-10.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-9.5%",""
"Population, Census, April 1, 2020","","9,565",""
"Population, Census, April 1, 2010","","11,267",""
"Persons under 5 years, percent","","8.3%",""
"Persons under 18 years, percent","","22.8%",""
"Persons 65 years and over, percent","","5.7%",""
"Female persons, percent","","35.9%",""
"White alone, percent","","69.1%",""
"Black alone, percent (a)","(a)","19.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.5%",""
"Asian alone, percent (a)","(a)","3.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","1.2%",""
"Two or More Races, percent","","4.9%",""
"Hispanic or Latino, percent (b)","(b)","18.3%",""
"White alone, not Hispanic or Latino, percent","","55.1%",""
"Veterans, 2019-2023","","495",""
"Foreign-born persons, percent, 2019-2023","","5.2%",""
"Housing Units, July 1, 2023, (V2023)","","3,239",""
"Owner-occupied housing unit rate, 2019-2023","","36.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$99,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,479",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$446",""
"Median gross rent, 2019-2023","","$1,235",""
"Building Permits, 2023","","1",""
"Households, 2019-2023","","1,897",""
"Persons per household, 2019-2023","","2.52",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","63.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","15.8%",""
"Households with a computer, percent, 2019-2023","","93.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","97.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.7%",""
"Persons without health insurance, under age 65 years, percent","","8.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","18.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","43.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","33,774",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","18,845",""
"Total retail sales per capita, 2022","(c)","$2,155",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","9.8",""
"Median households income (in 2023 dollars), 2019-2023","","$59,221",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,920",""
"Persons in poverty, percent","","16.3%",""
"Total employer establishments, 2022","","91",""
"Total employment, 2022","","1,148",""
"Total annual payroll, 2022 ($1,000)","","44,422",""
"Total employment, percent change, 2021-2022","","-30.8%",""
"Total nonemployer establishments, 2022","","285",""
"All employer firms, Reference year 2022","","62",""
"Men-owned employer firms, Reference year 2022","","24",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","26",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","27",""
"Population per square mile, 2020","","38.5",""
"Population per square mile, 2010","","45.3",""
"Land area in square miles, 2020","","248.74",""
"Land area in square miles, 2010","","248.74",""
"FIPS Code","","""13053""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
