"Fact","Fact Note","Cherokee County, Georgia","Value Note for Cherokee County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","293,513",""
"Population estimates, July 1, 2023, (V2023)","","286,602",""
"Population estimates base, April 1, 2020, (V2024)","","266,600",""
"Population estimates base, April 1, 2020, (V2023)","","266,594",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","10.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","7.5%",""
"Population, Census, April 1, 2020","","266,620",""
"Population, Census, April 1, 2010","","214,346",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","22.3%",""
"Persons 65 years and over, percent","","16.4%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","85.6%",""
"Black alone, percent (a)","(a)","8.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","2.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","12.5%",""
"White alone, not Hispanic or Latino, percent","","74.8%",""
"Veterans, 2019-2023","","15,685",""
"Foreign-born persons, percent, 2019-2023","","10.5%",""
"Housing Units, July 1, 2023, (V2023)","","109,270",""
"Owner-occupied housing unit rate, 2019-2023","","77.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$389,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,918",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$572",""
"Median gross rent, 2019-2023","","$1,703",""
"Building Permits, 2023","","2,226",""
"Households, 2019-2023","","99,132",""
"Persons per household, 2019-2023","","2.75",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","13.7%",""
"Households with a computer, percent, 2019-2023","","97.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","94.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","39.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.4%",""
"Persons without health insurance, under age 65 years, percent","","12.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","68.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","698,082",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,930,518",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","299,235",""
"Total retail sales, 2022 ($1,000)","(c)","4,733,413",""
"Total retail sales per capita, 2022","(c)","$16,833",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","31.8",""
"Median households income (in 2023 dollars), 2019-2023","","$105,442",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$47,337",""
"Persons in poverty, percent","","6.6%",""
"Total employer establishments, 2022","","6,345",""
"Total employment, 2022","","66,123",""
"Total annual payroll, 2022 ($1,000)","","3,076,988",""
"Total employment, percent change, 2021-2022","","8.3%",""
"Total nonemployer establishments, 2022","","31,577",""
"All employer firms, Reference year 2022","","5,407",""
"Men-owned employer firms, Reference year 2022","","3,485",""
"Women-owned employer firms, Reference year 2022","","1,007",""
"Minority-owned employer firms, Reference year 2022","","687",""
"Nonminority-owned employer firms, Reference year 2022","","4,255",""
"Veteran-owned employer firms, Reference year 2022","","368",""
"Nonveteran-owned employer firms, Reference year 2022","","4,539",""
"Population per square mile, 2020","","633.2",""
"Population per square mile, 2010","","508.3",""
"Land area in square miles, 2020","","421.08",""
"Land area in square miles, 2010","","421.67",""
"FIPS Code","","""13057""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
