"Fact","Fact Note","Clayton County, Georgia","Value Note for Clayton County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","297,703",""
"Population estimates, July 1, 2023, (V2023)","","298,300",""
"Population estimates base, April 1, 2020, (V2024)","","299,394",""
"Population estimates base, April 1, 2020, (V2023)","","299,403",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.4%",""
"Population, Census, April 1, 2020","","297,595",""
"Population, Census, April 1, 2010","","259,424",""
"Persons under 5 years, percent","","6.5%",""
"Persons under 18 years, percent","","26.4%",""
"Persons 65 years and over, percent","","11.2%",""
"Female persons, percent","","53.0%",""
"White alone, percent","","18.6%",""
"Black alone, percent (a)","(a)","73.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","5.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","14.5%",""
"White alone, not Hispanic or Latino, percent","","7.8%",""
"Veterans, 2019-2023","","15,971",""
"Foreign-born persons, percent, 2019-2023","","13.8%",""
"Housing Units, July 1, 2023, (V2023)","","116,084",""
"Owner-occupied housing unit rate, 2019-2023","","53.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$194,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,422",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$507",""
"Median gross rent, 2019-2023","","$1,307",""
"Building Permits, 2023","","348",""
"Households, 2019-2023","","105,626",""
"Persons per household, 2019-2023","","2.79",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","21.1%",""
"Households with a computer, percent, 2019-2023","","95.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.1%",""
"Persons without health insurance, under age 65 years, percent","","15.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","804,823",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","985,607",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","3,660,490",""
"Total retail sales, 2022 ($1,000)","(c)","4,414,941",""
"Total retail sales per capita, 2022","(c)","$14,795",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","32.6",""
"Median households income (in 2023 dollars), 2019-2023","","$58,507",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,826",""
"Persons in poverty, percent","","17.3%",""
"Total employer establishments, 2022","","4,184",""
"Total employment, 2022","","80,293",""
"Total annual payroll, 2022 ($1,000)","","3,671,722",""
"Total employment, percent change, 2021-2022","","7.9%",""
"Total nonemployer establishments, 2022","","40,003",""
"All employer firms, Reference year 2022","","3,129",""
"Men-owned employer firms, Reference year 2022","","1,888",""
"Women-owned employer firms, Reference year 2022","","614",""
"Minority-owned employer firms, Reference year 2022","","1,580",""
"Nonminority-owned employer firms, Reference year 2022","","1,065",""
"Veteran-owned employer firms, Reference year 2022","","126",""
"Nonveteran-owned employer firms, Reference year 2022","","2,518",""
"Population per square mile, 2020","","2,100.9",""
"Population per square mile, 2010","","1,832.5",""
"Land area in square miles, 2020","","141.65",""
"Land area in square miles, 2010","","141.57",""
"FIPS Code","","""13063""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
