"Fact","Fact Note","Coffee County, Georgia","Value Note for Coffee County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","43,851",""
"Population estimates, July 1, 2023, (V2023)","","43,317",""
"Population estimates base, April 1, 2020, (V2024)","","43,088",""
"Population estimates base, April 1, 2020, (V2023)","","43,092",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.5%",""
"Population, Census, April 1, 2020","","43,092",""
"Population, Census, April 1, 2010","","42,356",""
"Persons under 5 years, percent","","6.7%",""
"Persons under 18 years, percent","","24.7%",""
"Persons 65 years and over, percent","","14.8%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","68.0%",""
"Black alone, percent (a)","(a)","28.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","13.6%",""
"White alone, not Hispanic or Latino, percent","","55.9%",""
"Veterans, 2019-2023","","1,890",""
"Foreign-born persons, percent, 2019-2023","","7.6%",""
"Housing Units, July 1, 2023, (V2023)","","17,582",""
"Owner-occupied housing unit rate, 2019-2023","","63.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$125,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,220",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$392",""
"Median gross rent, 2019-2023","","$713",""
"Building Permits, 2023","","56",""
"Households, 2019-2023","","15,318",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.2%",""
"Households with a computer, percent, 2019-2023","","92.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","79.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.9%",""
"Persons without health insurance, under age 65 years, percent","","19.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","52.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","101,342",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","339,154",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","79,867",""
"Total retail sales, 2022 ($1,000)","(c)","797,466",""
"Total retail sales per capita, 2022","(c)","$18,440",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.1",""
"Median households income (in 2023 dollars), 2019-2023","","$50,175",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$23,567",""
"Persons in poverty, percent","","22.5%",""
"Total employer establishments, 2022","","880",""
"Total employment, 2022","","14,546",""
"Total annual payroll, 2022 ($1,000)","","648,018",""
"Total employment, percent change, 2021-2022","","2.6%",""
"Total nonemployer establishments, 2022","","3,465",""
"All employer firms, Reference year 2022","","891",""
"Men-owned employer firms, Reference year 2022","","500",""
"Women-owned employer firms, Reference year 2022","","218",""
"Minority-owned employer firms, Reference year 2022","","165",""
"Nonminority-owned employer firms, Reference year 2022","","649",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","777",""
"Population per square mile, 2020","","72.8",""
"Population per square mile, 2010","","73.7",""
"Land area in square miles, 2020","","592.27",""
"Land area in square miles, 2010","","575.10",""
"FIPS Code","","""13069""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
