"Fact","Fact Note","Crisp County, Georgia","Value Note for Crisp County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","19,468",""
"Population estimates, July 1, 2023, (V2023)","","19,631",""
"Population estimates base, April 1, 2020, (V2024)","","20,130",""
"Population estimates base, April 1, 2020, (V2023)","","20,128",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.5%",""
"Population, Census, April 1, 2020","","20,128",""
"Population, Census, April 1, 2010","","23,439",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","20.2%",""
"Female persons, percent","","52.4%",""
"White alone, percent","","51.2%",""
"Black alone, percent (a)","(a)","45.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","3.8%",""
"White alone, not Hispanic or Latino, percent","","48.5%",""
"Veterans, 2019-2023","","1,187",""
"Foreign-born persons, percent, 2019-2023","","1.6%",""
"Housing Units, July 1, 2023, (V2023)","","9,948",""
"Owner-occupied housing unit rate, 2019-2023","","53.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$120,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,264",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$463",""
"Median gross rent, 2019-2023","","$743",""
"Building Permits, 2023","","20",""
"Households, 2019-2023","","7,966",""
"Persons per household, 2019-2023","","2.46",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.5%",""
"Households with a computer, percent, 2019-2023","","88.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","73.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.5%",""
"Persons without health insurance, under age 65 years, percent","","14.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","64,027",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","168,473",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","48,323",""
"Total retail sales, 2022 ($1,000)","(c)","570,202",""
"Total retail sales per capita, 2022","(c)","$28,902",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.8",""
"Median households income (in 2023 dollars), 2019-2023","","$42,745",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,062",""
"Persons in poverty, percent","","26.0%",""
"Total employer establishments, 2022","","504",""
"Total employment, 2022","","7,737",""
"Total annual payroll, 2022 ($1,000)","","321,411",""
"Total employment, percent change, 2021-2022","","1.1%",""
"Total nonemployer establishments, 2022","","1,845",""
"All employer firms, Reference year 2022","","339",""
"Men-owned employer firms, Reference year 2022","","175",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","193",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","222",""
"Population per square mile, 2020","","73.8",""
"Population per square mile, 2010","","86.0",""
"Land area in square miles, 2020","","272.68",""
"Land area in square miles, 2010","","272.58",""
"FIPS Code","","""13081""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
