"Fact","Fact Note","Decatur County, Georgia","Value Note for Decatur County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","29,391",""
"Population estimates, July 1, 2023, (V2023)","","29,087",""
"Population estimates base, April 1, 2020, (V2024)","","29,367",""
"Population estimates base, April 1, 2020, (V2023)","","29,368",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.0%",""
"Population, Census, April 1, 2020","","29,367",""
"Population, Census, April 1, 2010","","27,842",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","24.2%",""
"Persons 65 years and over, percent","","17.9%",""
"Female persons, percent","","51.2%",""
"White alone, percent","","54.0%",""
"Black alone, percent (a)","(a)","42.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","7.0%",""
"White alone, not Hispanic or Latino, percent","","48.8%",""
"Veterans, 2019-2023","","1,273",""
"Foreign-born persons, percent, 2019-2023","","3.8%",""
"Housing Units, July 1, 2023, (V2023)","","13,300",""
"Owner-occupied housing unit rate, 2019-2023","","61.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$146,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,208",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$469",""
"Median gross rent, 2019-2023","","$860",""
"Building Permits, 2023","","127",""
"Households, 2019-2023","","10,474",""
"Persons per household, 2019-2023","","2.67",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","82.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.3%",""
"Households with a computer, percent, 2019-2023","","83.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","72.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.6%",""
"Persons without health insurance, under age 65 years, percent","","14.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","52.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","47.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","49,169",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","96,033",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","60,581",""
"Total retail sales, 2022 ($1,000)","(c)","451,265",""
"Total retail sales per capita, 2022","(c)","$15,551",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.5",""
"Median households income (in 2023 dollars), 2019-2023","","$50,485",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,544",""
"Persons in poverty, percent","","22.3%",""
"Total employer establishments, 2022","","611",""
"Total employment, 2022","","7,474",""
"Total annual payroll, 2022 ($1,000)","","335,798",""
"Total employment, percent change, 2021-2022","","2.9%",""
"Total nonemployer establishments, 2022","","2,208",""
"All employer firms, Reference year 2022","","411",""
"Men-owned employer firms, Reference year 2022","","241",""
"Women-owned employer firms, Reference year 2022","","56",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","201",""
"Veteran-owned employer firms, Reference year 2022","","6",""
"Nonveteran-owned employer firms, Reference year 2022","","320",""
"Population per square mile, 2020","","49.2",""
"Population per square mile, 2010","","46.6",""
"Land area in square miles, 2020","","597.24",""
"Land area in square miles, 2010","","597.14",""
"FIPS Code","","""13087""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
