"Fact","Fact Note","Emanuel County, Georgia","Value Note for Emanuel County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","23,224",""
"Population estimates, July 1, 2023, (V2023)","","23,119",""
"Population estimates base, April 1, 2020, (V2024)","","22,772",""
"Population estimates base, April 1, 2020, (V2023)","","22,770",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.5%",""
"Population, Census, April 1, 2020","","22,768",""
"Population, Census, April 1, 2010","","22,598",""
"Persons under 5 years, percent","","6.4%",""
"Persons under 18 years, percent","","24.5%",""
"Persons 65 years and over, percent","","16.6%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","62.2%",""
"Black alone, percent (a)","(a)","35.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","4.9%",""
"White alone, not Hispanic or Latino, percent","","58.4%",""
"Veterans, 2019-2023","","1,164",""
"Foreign-born persons, percent, 2019-2023","","3.0%",""
"Housing Units, July 1, 2023, (V2023)","","10,052",""
"Owner-occupied housing unit rate, 2019-2023","","59.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$88,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,049",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$391",""
"Median gross rent, 2019-2023","","$742",""
"Building Permits, 2023","","89",""
"Households, 2019-2023","","8,267",""
"Persons per household, 2019-2023","","2.65",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.1%",""
"Households with a computer, percent, 2019-2023","","89.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","79.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","12.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","16.0%",""
"Persons without health insurance, under age 65 years, percent","","16.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","30,258",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","84,006",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","58,176",""
"Total retail sales, 2022 ($1,000)","(c)","376,121",""
"Total retail sales per capita, 2022","(c)","$16,392",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.6",""
"Median households income (in 2023 dollars), 2019-2023","","$50,053",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,356",""
"Persons in poverty, percent","","26.1%",""
"Total employer establishments, 2022","","394",""
"Total employment, 2022","","5,298",""
"Total annual payroll, 2022 ($1,000)","","227,504",""
"Total employment, percent change, 2021-2022","","-2.6%",""
"Total nonemployer establishments, 2022","","1,924",""
"All employer firms, Reference year 2022","","385",""
"Men-owned employer firms, Reference year 2022","","264",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","289",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","302",""
"Population per square mile, 2020","","33.5",""
"Population per square mile, 2010","","33.2",""
"Land area in square miles, 2020","","680.57",""
"Land area in square miles, 2010","","680.60",""
"FIPS Code","","""13107""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
