"Fact","Fact Note","Fayette County, Georgia","Value Note for Fayette County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","125,107",""
"Population estimates, July 1, 2023, (V2023)","","123,351",""
"Population estimates base, April 1, 2020, (V2024)","","119,196",""
"Population estimates base, April 1, 2020, (V2023)","","119,181",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.5%",""
"Population, Census, April 1, 2020","","119,194",""
"Population, Census, April 1, 2010","","106,567",""
"Persons under 5 years, percent","","4.2%",""
"Persons under 18 years, percent","","22.2%",""
"Persons 65 years and over, percent","","20.7%",""
"Female persons, percent","","51.5%",""
"White alone, percent","","63.6%",""
"Black alone, percent (a)","(a)","27.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","5.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","8.9%",""
"White alone, not Hispanic or Latino, percent","","56.3%",""
"Veterans, 2019-2023","","10,543",""
"Foreign-born persons, percent, 2019-2023","","11.1%",""
"Housing Units, July 1, 2023, (V2023)","","47,093",""
"Owner-occupied housing unit rate, 2019-2023","","81.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$405,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,239",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$626",""
"Median gross rent, 2019-2023","","$1,787",""
"Building Permits, 2023","","354",""
"Households, 2019-2023","","43,669",""
"Persons per household, 2019-2023","","2.75",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","13.6%",""
"Households with a computer, percent, 2019-2023","","98.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","94.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","95.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","48.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.7%",""
"Persons without health insurance, under age 65 years, percent","","9.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","500,281",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,291,368",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","358,758",""
"Total retail sales, 2022 ($1,000)","(c)","2,249,924",""
"Total retail sales per capita, 2022","(c)","$18,445",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","32.2",""
"Median households income (in 2023 dollars), 2019-2023","","$108,986",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$52,188",""
"Persons in poverty, percent","","5.8%",""
"Total employer establishments, 2022","","3,945",""
"Total employment, 2022","","48,392",""
"Total annual payroll, 2022 ($1,000)","","2,457,956",""
"Total employment, percent change, 2021-2022","","7.9%",""
"Total nonemployer establishments, 2022","","13,680",""
"All employer firms, Reference year 2022","","3,316",""
"Men-owned employer firms, Reference year 2022","","1,698",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","816",""
"Nonminority-owned employer firms, Reference year 2022","","2,117",""
"Veteran-owned employer firms, Reference year 2022","","138",""
"Nonveteran-owned employer firms, Reference year 2022","","2,732",""
"Population per square mile, 2020","","612.6",""
"Population per square mile, 2010","","548.3",""
"Land area in square miles, 2020","","194.56",""
"Land area in square miles, 2010","","194.34",""
"FIPS Code","","""13113""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
