"Fact","Fact Note","Floyd County, Georgia","Value Note for Floyd County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","101,390",""
"Population estimates, July 1, 2023, (V2023)","","100,113",""
"Population estimates base, April 1, 2020, (V2024)","","98,580",""
"Population estimates base, April 1, 2020, (V2023)","","98,582",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.6%",""
"Population, Census, April 1, 2020","","98,584",""
"Population, Census, April 1, 2010","","96,317",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","22.6%",""
"Persons 65 years and over, percent","","17.2%",""
"Female persons, percent","","51.2%",""
"White alone, percent","","79.8%",""
"Black alone, percent (a)","(a)","15.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","12.7%",""
"White alone, not Hispanic or Latino, percent","","69.0%",""
"Veterans, 2019-2023","","4,945",""
"Foreign-born persons, percent, 2019-2023","","6.7%",""
"Housing Units, July 1, 2023, (V2023)","","41,150",""
"Owner-occupied housing unit rate, 2019-2023","","62.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$194,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,416",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$510",""
"Median gross rent, 2019-2023","","$971",""
"Building Permits, 2023","","327",""
"Households, 2019-2023","","36,688",""
"Persons per household, 2019-2023","","2.58",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","11.2%",""
"Households with a computer, percent, 2019-2023","","93.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.3%",""
"Persons without health insurance, under age 65 years, percent","","15.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","308,299",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,653,925",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","122,135",""
"Total retail sales, 2022 ($1,000)","(c)","1,651,649",""
"Total retail sales per capita, 2022","(c)","$16,610",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.5",""
"Median households income (in 2023 dollars), 2019-2023","","$62,540",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,628",""
"Persons in poverty, percent","","17.0%",""
"Total employer establishments, 2022","","2,098",""
"Total employment, 2022","","39,305",""
"Total annual payroll, 2022 ($1,000)","","1,877,288",""
"Total employment, percent change, 2021-2022","","6.7%",""
"Total nonemployer establishments, 2022","","8,185",""
"All employer firms, Reference year 2022","","1,926",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","370",""
"Minority-owned employer firms, Reference year 2022","","281",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","193.4",""
"Population per square mile, 2010","","188.9",""
"Land area in square miles, 2020","","509.81",""
"Land area in square miles, 2010","","509.91",""
"FIPS Code","","""13115""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
