"Fact","Fact Note","Laurens County, Georgia","Value Note for Laurens County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","50,287",""
"Population estimates, July 1, 2023, (V2023)","","49,941",""
"Population estimates base, April 1, 2020, (V2024)","","49,573",""
"Population estimates base, April 1, 2020, (V2023)","","49,570",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.7%",""
"Population, Census, April 1, 2020","","49,570",""
"Population, Census, April 1, 2010","","48,434",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","24.8%",""
"Persons 65 years and over, percent","","18.5%",""
"Female persons, percent","","52.7%",""
"White alone, percent","","59.0%",""
"Black alone, percent (a)","(a)","37.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","3.5%",""
"White alone, not Hispanic or Latino, percent","","56.3%",""
"Veterans, 2019-2023","","2,690",""
"Foreign-born persons, percent, 2019-2023","","2.2%",""
"Housing Units, July 1, 2023, (V2023)","","22,148",""
"Owner-occupied housing unit rate, 2019-2023","","65.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$137,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,300",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$408",""
"Median gross rent, 2019-2023","","$769",""
"Building Permits, 2023","","32",""
"Households, 2019-2023","","18,133",""
"Persons per household, 2019-2023","","2.69",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.4%",""
"Households with a computer, percent, 2019-2023","","87.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.2%",""
"Persons without health insurance, under age 65 years, percent","","14.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","133,043",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","598,606",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","63,665",""
"Total retail sales, 2022 ($1,000)","(c)","1,062,734",""
"Total retail sales per capita, 2022","(c)","$21,379",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.6",""
"Median households income (in 2023 dollars), 2019-2023","","$49,705",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,642",""
"Persons in poverty, percent","","19.2%",""
"Total employer establishments, 2022","","1,104",""
"Total employment, 2022","","15,854",""
"Total annual payroll, 2022 ($1,000)","","715,337",""
"Total employment, percent change, 2021-2022","","1.0%",""
"Total nonemployer establishments, 2022","","4,787",""
"All employer firms, Reference year 2022","","809",""
"Men-owned employer firms, Reference year 2022","","484",""
"Women-owned employer firms, Reference year 2022","","134",""
"Minority-owned employer firms, Reference year 2022","","167",""
"Nonminority-owned employer firms, Reference year 2022","","510",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","633",""
"Population per square mile, 2020","","61.4",""
"Population per square mile, 2010","","60.0",""
"Land area in square miles, 2020","","807.34",""
"Land area in square miles, 2010","","807.30",""
"FIPS Code","","""13175""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
