"Fact","Fact Note","Peach County, Georgia","Value Note for Peach County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","29,213",""
"Population estimates, July 1, 2023, (V2023)","","28,805",""
"Population estimates base, April 1, 2020, (V2024)","","27,988",""
"Population estimates base, April 1, 2020, (V2023)","","27,986",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.9%",""
"Population, Census, April 1, 2020","","27,981",""
"Population, Census, April 1, 2010","","27,695",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","20.8%",""
"Persons 65 years and over, percent","","17.5%",""
"Female persons, percent","","52.0%",""
"White alone, percent","","51.4%",""
"Black alone, percent (a)","(a)","44.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","9.4%",""
"White alone, not Hispanic or Latino, percent","","43.3%",""
"Veterans, 2019-2023","","2,580",""
"Foreign-born persons, percent, 2019-2023","","4.7%",""
"Housing Units, July 1, 2023, (V2023)","","12,379",""
"Owner-occupied housing unit rate, 2019-2023","","70.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$186,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,559",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$516",""
"Median gross rent, 2019-2023","","$901",""
"Building Permits, 2023","","149",""
"Households, 2019-2023","","10,284",""
"Persons per household, 2019-2023","","2.60",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.7%",""
"Households with a computer, percent, 2019-2023","","93.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.8%",""
"Persons without health insurance, under age 65 years, percent","","15.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","71,483",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","50,411",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","41,320",""
"Total retail sales, 2022 ($1,000)","(c)","602,216",""
"Total retail sales per capita, 2022","(c)","$21,141",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.0",""
"Median households income (in 2023 dollars), 2019-2023","","$68,365",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,624",""
"Persons in poverty, percent","","17.3%",""
"Total employer establishments, 2022","","508",""
"Total employment, 2022","","7,353",""
"Total annual payroll, 2022 ($1,000)","","310,123",""
"Total employment, percent change, 2021-2022","","13.9%",""
"Total nonemployer establishments, 2022","","2,512",""
"All employer firms, Reference year 2022","","492",""
"Men-owned employer firms, Reference year 2022","","248",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","332",""
"Population per square mile, 2020","","186.2",""
"Population per square mile, 2010","","184.3",""
"Land area in square miles, 2020","","150.28",""
"Land area in square miles, 2010","","150.27",""
"FIPS Code","","""13225""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
