"Fact","Fact Note","Tift County, Georgia","Value Note for Tift County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","41,708",""
"Population estimates, July 1, 2023, (V2023)","","41,554",""
"Population estimates base, April 1, 2020, (V2024)","","41,359",""
"Population estimates base, April 1, 2020, (V2023)","","41,357",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.5%",""
"Population, Census, April 1, 2020","","41,344",""
"Population, Census, April 1, 2010","","40,118",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","24.5%",""
"Persons 65 years and over, percent","","16.6%",""
"Female persons, percent","","51.8%",""
"White alone, percent","","64.9%",""
"Black alone, percent (a)","(a)","31.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","13.3%",""
"White alone, not Hispanic or Latino, percent","","53.3%",""
"Veterans, 2019-2023","","1,761",""
"Foreign-born persons, percent, 2019-2023","","5.7%",""
"Housing Units, July 1, 2023, (V2023)","","17,952",""
"Owner-occupied housing unit rate, 2019-2023","","61.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$143,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,263",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$418",""
"Median gross rent, 2019-2023","","$799",""
"Building Permits, 2023","","198",""
"Households, 2019-2023","","15,541",""
"Persons per household, 2019-2023","","2.54",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.5%",""
"Households with a computer, percent, 2019-2023","","85.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","73.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","20.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.8%",""
"Persons without health insurance, under age 65 years, percent","","16.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","163,903",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","707,896",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","125,723",""
"Total retail sales, 2022 ($1,000)","(c)","1,244,158",""
"Total retail sales per capita, 2022","(c)","$30,099",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.1",""
"Median households income (in 2023 dollars), 2019-2023","","$53,165",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,381",""
"Persons in poverty, percent","","19.2%",""
"Total employer establishments, 2022","","1,081",""
"Total employment, 2022","","17,904",""
"Total annual payroll, 2022 ($1,000)","","855,479",""
"Total employment, percent change, 2021-2022","","2.3%",""
"Total nonemployer establishments, 2022","","3,795",""
"All employer firms, Reference year 2022","","790",""
"Men-owned employer firms, Reference year 2022","","410",""
"Women-owned employer firms, Reference year 2022","","128",""
"Minority-owned employer firms, Reference year 2022","","132",""
"Nonminority-owned employer firms, Reference year 2022","","500",""
"Veteran-owned employer firms, Reference year 2022","","74",""
"Nonveteran-owned employer firms, Reference year 2022","","559",""
"Population per square mile, 2020","","158.5",""
"Population per square mile, 2010","","154.9",""
"Land area in square miles, 2020","","260.89",""
"Land area in square miles, 2010","","258.92",""
"FIPS Code","","""13277""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
