"Fact","Fact Note","Troup County, Georgia","Value Note for Troup County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","71,513",""
"Population estimates, July 1, 2023, (V2023)","","70,742",""
"Population estimates base, April 1, 2020, (V2024)","","69,432",""
"Population estimates base, April 1, 2020, (V2023)","","69,426",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.9%",""
"Population, Census, April 1, 2020","","69,426",""
"Population, Census, April 1, 2010","","67,044",""
"Persons under 5 years, percent","","6.4%",""
"Persons under 18 years, percent","","24.3%",""
"Persons 65 years and over, percent","","16.4%",""
"Female persons, percent","","52.5%",""
"White alone, percent","","57.9%",""
"Black alone, percent (a)","(a)","36.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","2.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","4.8%",""
"White alone, not Hispanic or Latino, percent","","54.1%",""
"Veterans, 2019-2023","","3,510",""
"Foreign-born persons, percent, 2019-2023","","4.4%",""
"Housing Units, July 1, 2023, (V2023)","","30,083",""
"Owner-occupied housing unit rate, 2019-2023","","57.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$187,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,454",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$540",""
"Median gross rent, 2019-2023","","$1,044",""
"Building Permits, 2023","","974",""
"Households, 2019-2023","","26,222",""
"Persons per household, 2019-2023","","2.61",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.3%",""
"Households with a computer, percent, 2019-2023","","91.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.8%",""
"Persons without health insurance, under age 65 years, percent","","13.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","294,142",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","572,339",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","476,751",""
"Total retail sales, 2022 ($1,000)","(c)","1,461,835",""
"Total retail sales per capita, 2022","(c)","$20,810",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.3",""
"Median households income (in 2023 dollars), 2019-2023","","$54,905",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,830",""
"Persons in poverty, percent","","18.1%",""
"Total employer establishments, 2022","","1,710",""
"Total employment, 2022","","34,690",""
"Total annual payroll, 2022 ($1,000)","","1,825,760",""
"Total employment, percent change, 2021-2022","","4.2%",""
"Total nonemployer establishments, 2022","","6,385",""
"All employer firms, Reference year 2022","","1,262",""
"Men-owned employer firms, Reference year 2022","","787",""
"Women-owned employer firms, Reference year 2022","","180",""
"Minority-owned employer firms, Reference year 2022","","262",""
"Nonminority-owned employer firms, Reference year 2022","","782",""
"Veteran-owned employer firms, Reference year 2022","","65",""
"Nonveteran-owned employer firms, Reference year 2022","","934",""
"Population per square mile, 2020","","167.7",""
"Population per square mile, 2010","","161.9",""
"Land area in square miles, 2020","","414.01",""
"Land area in square miles, 2010","","413.99",""
"FIPS Code","","""13285""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
