"Fact","Fact Note","Upson County, Georgia","Value Note for Upson County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","28,358",""
"Population estimates, July 1, 2023, (V2023)","","28,263",""
"Population estimates base, April 1, 2020, (V2024)","","27,696",""
"Population estimates base, April 1, 2020, (V2023)","","27,700",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.0%",""
"Population, Census, April 1, 2020","","27,700",""
"Population, Census, April 1, 2010","","27,153",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","22.8%",""
"Persons 65 years and over, percent","","18.8%",""
"Female persons, percent","","52.3%",""
"White alone, percent","","68.7%",""
"Black alone, percent (a)","(a)","28.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","2.9%",""
"White alone, not Hispanic or Latino, percent","","66.7%",""
"Veterans, 2019-2023","","1,735",""
"Foreign-born persons, percent, 2019-2023","","1.8%",""
"Housing Units, July 1, 2023, (V2023)","","12,474",""
"Owner-occupied housing unit rate, 2019-2023","","62.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$149,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,215",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$454",""
"Median gross rent, 2019-2023","","$779",""
"Building Permits, 2023","","128",""
"Households, 2019-2023","","10,377",""
"Persons per household, 2019-2023","","2.64",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.0%",""
"Households with a computer, percent, 2019-2023","","89.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.2%",""
"Persons without health insurance, under age 65 years, percent","","14.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","46.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","49,146",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","10,519",""
"Total retail sales, 2022 ($1,000)","(c)","335,956",""
"Total retail sales per capita, 2022","(c)","$11,959",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.9",""
"Median households income (in 2023 dollars), 2019-2023","","$50,904",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,772",""
"Persons in poverty, percent","","17.5%",""
"Total employer establishments, 2022","","462",""
"Total employment, 2022","","6,056",""
"Total annual payroll, 2022 ($1,000)","","256,422",""
"Total employment, percent change, 2021-2022","","10.5%",""
"Total nonemployer establishments, 2022","","2,035",""
"All employer firms, Reference year 2022","","369",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","35",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","26",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","85.6",""
"Population per square mile, 2010","","84.0",""
"Land area in square miles, 2020","","323.47",""
"Land area in square miles, 2010","","323.44",""
"FIPS Code","","""13293""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
