"Fact","Fact Note","Wheeler County, Georgia","Value Note for Wheeler County, Georgia"
"Population estimates, July 1, 2024, (V2024)","","7,076",""
"Population estimates, July 1, 2023, (V2023)","","7,081",""
"Population estimates base, April 1, 2020, (V2024)","","7,482",""
"Population estimates base, April 1, 2020, (V2023)","","7,480",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-5.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-5.3%",""
"Population, Census, April 1, 2020","","7,471",""
"Population, Census, April 1, 2010","","7,421",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","16.2%",""
"Persons 65 years and over, percent","","17.1%",""
"Female persons, percent","","36.9%",""
"White alone, percent","","60.8%",""
"Black alone, percent (a)","(a)","36.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","4.8%",""
"White alone, not Hispanic or Latino, percent","","57.2%",""
"Veterans, 2019-2023","","358",""
"Foreign-born persons, percent, 2019-2023","","1.0%",""
"Housing Units, July 1, 2023, (V2023)","","2,441",""
"Owner-occupied housing unit rate, 2019-2023","","68.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$74,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$920",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$340",""
"Median gross rent, 2019-2023","","$551",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","1,545",""
"Persons per household, 2019-2023","","4.24",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","94.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.0%",""
"Households with a computer, percent, 2019-2023","","81.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","77.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","76.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","12.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.3%",""
"Persons without health insurance, under age 65 years, percent","","18.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","46.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","42.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","NA",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","NA",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","5,942",""
"Total retail sales, 2022 ($1,000)","(c)","19,225",""
"Total retail sales per capita, 2022","(c)","$2,630",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","34.9",""
"Median households income (in 2023 dollars), 2019-2023","","$45,262",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$19,272",""
"Persons in poverty, percent","","36.3%",""
"Total employer establishments, 2022","","49",""
"Total employment, 2022","","538",""
"Total annual payroll, 2022 ($1,000)","","27,423",""
"Total employment, percent change, 2021-2022","","-15.4%",""
"Total nonemployer establishments, 2022","","366",""
"All employer firms, Reference year 2022","","18",""
"Men-owned employer firms, Reference year 2022","","7",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","12",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","9",""
"Population per square mile, 2020","","25.3",""
"Population per square mile, 2010","","25.1",""
"Land area in square miles, 2020","","295.49",""
"Land area in square miles, 2010","","295.48",""
"FIPS Code","","""13309""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
