"Fact","Fact Note","Hawaii County, Hawaii","Value Note for Hawaii County, Hawaii"
"Population estimates, July 1, 2024, (V2024)","","209,790",""
"Population estimates, July 1, 2023, (V2023)","","207,615",""
"Population estimates base, April 1, 2020, (V2024)","","200,629",""
"Population estimates base, April 1, 2020, (V2023)","","200,635",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.5%",""
"Population, Census, April 1, 2020","","200,629",""
"Population, Census, April 1, 2010","","185,079",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.5%",""
"Persons 65 years and over, percent","","24.4%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","34.7%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","20.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","12.8%",""
"Two or More Races, percent","","30.6%",""
"Hispanic or Latino, percent (b)","(b)","11.9%",""
"White alone, not Hispanic or Latino, percent","","31.0%",""
"Veterans, 2019-2023","","12,736",""
"Foreign-born persons, percent, 2019-2023","","12.5%",""
"Housing Units, July 1, 2023, (V2023)","","91,546",""
"Owner-occupied housing unit rate, 2019-2023","","73.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$486,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,105",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$450",""
"Median gross rent, 2019-2023","","$1,411",""
"Building Permits, 2023","","1,181",""
"Households, 2019-2023","","72,958",""
"Persons per household, 2019-2023","","2.76",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","25.3%",""
"Households with a computer, percent, 2019-2023","","94.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.3%",""
"Persons without health insurance, under age 65 years, percent","","5.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,674,116",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,309,692",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","527,345",""
"Total retail sales, 2022 ($1,000)","(c)","4,353,895",""
"Total retail sales per capita, 2022","(c)","$21,100",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.7",""
"Median households income (in 2023 dollars), 2019-2023","","$77,215",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,406",""
"Persons in poverty, percent","","16.5%",""
"Total employer establishments, 2022","","4,365",""
"Total employment, 2022","","52,776",""
"Total annual payroll, 2022 ($1,000)","","2,592,665",""
"Total employment, percent change, 2021-2022","","7.5%",""
"Total nonemployer establishments, 2022","","20,029",""
"All employer firms, Reference year 2022","","3,238",""
"Men-owned employer firms, Reference year 2022","","1,666",""
"Women-owned employer firms, Reference year 2022","","670",""
"Minority-owned employer firms, Reference year 2022","","1,394",""
"Nonminority-owned employer firms, Reference year 2022","","1,303",""
"Veteran-owned employer firms, Reference year 2022","","191",""
"Nonveteran-owned employer firms, Reference year 2022","","2,569",""
"Population per square mile, 2020","","49.8",""
"Population per square mile, 2010","","45.9",""
"Land area in square miles, 2020","","4,028.45",""
"Land area in square miles, 2010","","4,028.42",""
"FIPS Code","","""15001""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
