"Fact","Fact Note","Boundary County, Idaho","Value Note for Boundary County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","14,040",""
"Population estimates, July 1, 2023, (V2023)","","13,557",""
"Population estimates base, April 1, 2020, (V2024)","","12,060",""
"Population estimates base, April 1, 2020, (V2023)","","12,057",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","16.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","12.4%",""
"Population, Census, April 1, 2020","","12,056",""
"Population, Census, April 1, 2010","","10,972",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","23.6%",""
"Persons 65 years and over, percent","","23.4%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","92.5%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.9%",""
"Asian alone, percent (a)","(a)","2.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.7%",""
"Hispanic or Latino, percent (b)","(b)","5.6%",""
"White alone, not Hispanic or Latino, percent","","88.0%",""
"Veterans, 2019-2023","","1,149",""
"Foreign-born persons, percent, 2019-2023","","4.2%",""
"Housing Units, July 1, 2023, (V2023)","","5,754",""
"Owner-occupied housing unit rate, 2019-2023","","78.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$344,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,487",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$400",""
"Median gross rent, 2019-2023","","$867",""
"Building Permits, 2023","","56",""
"Households, 2019-2023","","4,835",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.7%",""
"Households with a computer, percent, 2019-2023","","95.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.0%",""
"Persons without health insurance, under age 65 years, percent","","13.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","49.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","40.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","9,615",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","51,472",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","17,972",""
"Total retail sales, 2022 ($1,000)","(c)","173,796",""
"Total retail sales per capita, 2022","(c)","$13,095",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.6",""
"Median households income (in 2023 dollars), 2019-2023","","$62,438",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,672",""
"Persons in poverty, percent","","11.5%",""
"Total employer establishments, 2022","","432",""
"Total employment, 2022","","2,906",""
"Total annual payroll, 2022 ($1,000)","","124,838",""
"Total employment, percent change, 2021-2022","","-0.5%",""
"Total nonemployer establishments, 2022","","1,244",""
"All employer firms, Reference year 2022","","328",""
"Men-owned employer firms, Reference year 2022","","160",""
"Women-owned employer firms, Reference year 2022","","40",""
"Minority-owned employer firms, Reference year 2022","","8",""
"Nonminority-owned employer firms, Reference year 2022","","290",""
"Veteran-owned employer firms, Reference year 2022","","4",""
"Nonveteran-owned employer firms, Reference year 2022","","286",""
"Population per square mile, 2020","","9.5",""
"Population per square mile, 2010","","8.6",""
"Land area in square miles, 2020","","1,268.68",""
"Land area in square miles, 2010","","1,268.56",""
"FIPS Code","","""16021""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
