"Fact","Fact Note","Camas County, Idaho","Value Note for Camas County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","1,247",""
"Population estimates, July 1, 2023, (V2023)","","1,232",""
"Population estimates base, April 1, 2020, (V2024)","","1,074",""
"Population estimates base, April 1, 2020, (V2023)","","1,074",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","16.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","14.7%",""
"Population, Census, April 1, 2020","","1,077",""
"Population, Census, April 1, 2010","","1,117",""
"Persons under 5 years, percent","","5.2%",""
"Persons under 18 years, percent","","22.1%",""
"Persons 65 years and over, percent","","25.6%",""
"Female persons, percent","","47.2%",""
"White alone, percent","","94.4%",""
"Black alone, percent (a)","(a)","0.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","3.4%",""
"Hispanic or Latino, percent (b)","(b)","8.5%",""
"White alone, not Hispanic or Latino, percent","","86.7%",""
"Veterans, 2019-2023","","69",""
"Foreign-born persons, percent, 2019-2023","","0.4%",""
"Housing Units, July 1, 2023, (V2023)","","731",""
"Owner-occupied housing unit rate, 2019-2023","","75.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$248,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,677",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$392",""
"Median gross rent, 2019-2023","","$992",""
"Building Permits, 2023","","23",""
"Households, 2019-2023","","339",""
"Persons per household, 2019-2023","","3.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.5%",""
"Households with a computer, percent, 2019-2023","","93.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.3%",""
"Persons without health insurance, under age 65 years, percent","","14.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","717",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","NA",""
"Total retail sales, 2022 ($1,000)","(c)","NA",""
"Total retail sales per capita, 2022","(c)","NA",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","39.8",""
"Median households income (in 2023 dollars), 2019-2023","","$55,536",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,735",""
"Persons in poverty, percent","","8.2%",""
"Total employer establishments, 2022","","41",""
"Total employment, 2022","","239",""
"Total annual payroll, 2022 ($1,000)","","8,701",""
"Total employment, percent change, 2021-2022","","52.2%",""
"Total nonemployer establishments, 2022","","120",""
"All employer firms, Reference year 2022","","46",""
"Men-owned employer firms, Reference year 2022","","36",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","38",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","33",""
"Population per square mile, 2020","","1.0",""
"Population per square mile, 2010","","1.0",""
"Land area in square miles, 2020","","1,074.23",""
"Land area in square miles, 2010","","1,074.49",""
"FIPS Code","","""16025""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
