"Fact","Fact Note","Caribou County, Idaho","Value Note for Caribou County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","7,239",""
"Population estimates, July 1, 2023, (V2023)","","7,219",""
"Population estimates base, April 1, 2020, (V2024)","","7,030",""
"Population estimates base, April 1, 2020, (V2023)","","7,027",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.7%",""
"Population, Census, April 1, 2020","","7,027",""
"Population, Census, April 1, 2010","","6,963",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","27.5%",""
"Persons 65 years and over, percent","","18.4%",""
"Female persons, percent","","48.9%",""
"White alone, percent","","96.7%",""
"Black alone, percent (a)","(a)","0.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","5.9%",""
"White alone, not Hispanic or Latino, percent","","91.4%",""
"Veterans, 2019-2023","","352",""
"Foreign-born persons, percent, 2019-2023","","3.4%",""
"Housing Units, July 1, 2023, (V2023)","","3,180",""
"Owner-occupied housing unit rate, 2019-2023","","82.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$220,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,237",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$423",""
"Median gross rent, 2019-2023","","$800",""
"Building Permits, 2023","","40",""
"Households, 2019-2023","","2,430",""
"Persons per household, 2019-2023","","2.89",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.1%",""
"Households with a computer, percent, 2019-2023","","96.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.2%",""
"Persons without health insurance, under age 65 years, percent","","9.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","8,279",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","32,191",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","5,280",""
"Total retail sales, 2022 ($1,000)","(c)","119,272",""
"Total retail sales per capita, 2022","(c)","$16,566",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.1",""
"Median households income (in 2023 dollars), 2019-2023","","$66,653",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,255",""
"Persons in poverty, percent","","9.7%",""
"Total employer establishments, 2022","","184",""
"Total employment, 2022","","2,056",""
"Total annual payroll, 2022 ($1,000)","","137,467",""
"Total employment, percent change, 2021-2022","","10.5%",""
"Total nonemployer establishments, 2022","","523",""
"All employer firms, Reference year 2022","","148",""
"Men-owned employer firms, Reference year 2022","","63",""
"Women-owned employer firms, Reference year 2022","","31",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","113",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","118",""
"Population per square mile, 2020","","4.0",""
"Population per square mile, 2010","","3.9",""
"Land area in square miles, 2020","","1,764.19",""
"Land area in square miles, 2010","","1,764.15",""
"FIPS Code","","""16029""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
