"Fact","Fact Note","Gooding County, Idaho","Value Note for Gooding County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","16,189",""
"Population estimates, July 1, 2023, (V2023)","","16,061",""
"Population estimates base, April 1, 2020, (V2024)","","15,608",""
"Population estimates base, April 1, 2020, (V2023)","","15,601",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.9%",""
"Population, Census, April 1, 2020","","15,598",""
"Population, Census, April 1, 2010","","15,464",""
"Persons under 5 years, percent","","6.4%",""
"Persons under 18 years, percent","","25.7%",""
"Persons 65 years and over, percent","","18.8%",""
"Female persons, percent","","48.8%",""
"White alone, percent","","93.4%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.6%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","31.4%",""
"White alone, not Hispanic or Latino, percent","","65.2%",""
"Veterans, 2019-2023","","886",""
"Foreign-born persons, percent, 2019-2023","","13.8%",""
"Housing Units, July 1, 2023, (V2023)","","6,195",""
"Owner-occupied housing unit rate, 2019-2023","","71.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$231,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,200",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$390",""
"Median gross rent, 2019-2023","","$859",""
"Building Permits, 2023","","51",""
"Households, 2019-2023","","5,512",""
"Persons per household, 2019-2023","","2.84",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","28.1%",""
"Households with a computer, percent, 2019-2023","","91.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","79.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.7%",""
"Persons without health insurance, under age 65 years, percent","","18.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","15,337",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","99,994",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","52,687",""
"Total retail sales, 2022 ($1,000)","(c)","176,635",""
"Total retail sales per capita, 2022","(c)","$11,124",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.8",""
"Median households income (in 2023 dollars), 2019-2023","","$62,395",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,647",""
"Persons in poverty, percent","","12.8%",""
"Total employer establishments, 2022","","369",""
"Total employment, 2022","","3,232",""
"Total annual payroll, 2022 ($1,000)","","149,220",""
"Total employment, percent change, 2021-2022","","0.1%",""
"Total nonemployer establishments, 2022","","956",""
"All employer firms, Reference year 2022","","335",""
"Men-owned employer firms, Reference year 2022","","143",""
"Women-owned employer firms, Reference year 2022","","60",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","263",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","266",""
"Population per square mile, 2020","","21.4",""
"Population per square mile, 2010","","21.2",""
"Land area in square miles, 2020","","729.32",""
"Land area in square miles, 2010","","728.97",""
"FIPS Code","","""16047""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
