"Fact","Fact Note","Jefferson County, Idaho","Value Note for Jefferson County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","34,854",""
"Population estimates, July 1, 2023, (V2023)","","34,198",""
"Population estimates base, April 1, 2020, (V2024)","","30,891",""
"Population estimates base, April 1, 2020, (V2023)","","30,890",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","12.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","10.7%",""
"Population, Census, April 1, 2020","","30,891",""
"Population, Census, April 1, 2010","","26,140",""
"Persons under 5 years, percent","","7.0%",""
"Persons under 18 years, percent","","31.8%",""
"Persons 65 years and over, percent","","12.6%",""
"Female persons, percent","","48.6%",""
"White alone, percent","","95.8%",""
"Black alone, percent (a)","(a)","0.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.2%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","11.2%",""
"White alone, not Hispanic or Latino, percent","","86.1%",""
"Veterans, 2019-2023","","1,201",""
"Foreign-born persons, percent, 2019-2023","","4.3%",""
"Housing Units, July 1, 2023, (V2023)","","11,087",""
"Owner-occupied housing unit rate, 2019-2023","","82.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$335,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,598",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$438",""
"Median gross rent, 2019-2023","","$1,098",""
"Building Permits, 2023","","181",""
"Households, 2019-2023","","9,899",""
"Persons per household, 2019-2023","","3.24",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","11.1%",""
"Households with a computer, percent, 2019-2023","","97.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","94.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.3%",""
"Persons without health insurance, under age 65 years, percent","","9.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","38,409",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","97,610",""
"Total retail sales, 2022 ($1,000)","(c)","319,081",""
"Total retail sales per capita, 2022","(c)","$9,572",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.8",""
"Median households income (in 2023 dollars), 2019-2023","","$82,952",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,733",""
"Persons in poverty, percent","","7.8%",""
"Total employer establishments, 2022","","709",""
"Total employment, 2022","","5,554",""
"Total annual payroll, 2022 ($1,000)","","218,222",""
"Total employment, percent change, 2021-2022","","12.5%",""
"Total nonemployer establishments, 2022","","2,885",""
"All employer firms, Reference year 2022","","591",""
"Men-owned employer firms, Reference year 2022","","234",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","40",""
"Nonminority-owned employer firms, Reference year 2022","","502",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","522",""
"Population per square mile, 2020","","28.2",""
"Population per square mile, 2010","","23.9",""
"Land area in square miles, 2020","","1,093.68",""
"Land area in square miles, 2010","","1,093.50",""
"FIPS Code","","""16051""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
