"Fact","Fact Note","Jerome County, Idaho","Value Note for Jerome County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","26,056",""
"Population estimates, July 1, 2023, (V2023)","","25,479",""
"Population estimates base, April 1, 2020, (V2024)","","24,238",""
"Population estimates base, April 1, 2020, (V2023)","","24,242",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","5.1%",""
"Population, Census, April 1, 2020","","24,237",""
"Population, Census, April 1, 2010","","22,374",""
"Persons under 5 years, percent","","7.2%",""
"Persons under 18 years, percent","","29.4%",""
"Persons 65 years and over, percent","","14.0%",""
"Female persons, percent","","48.7%",""
"White alone, percent","","94.6%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.3%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","39.6%",""
"White alone, not Hispanic or Latino, percent","","57.8%",""
"Veterans, 2019-2023","","1,031",""
"Foreign-born persons, percent, 2019-2023","","18.2%",""
"Housing Units, July 1, 2023, (V2023)","","8,944",""
"Owner-occupied housing unit rate, 2019-2023","","75.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$254,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,330",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$472",""
"Median gross rent, 2019-2023","","$862",""
"Building Permits, 2023","","75",""
"Households, 2019-2023","","8,198",""
"Persons per household, 2019-2023","","3.00",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","33.7%",""
"Households with a computer, percent, 2019-2023","","94.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","73.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.6%",""
"Persons without health insurance, under age 65 years, percent","","16.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","31,471",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","43,220",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","326,223",""
"Total retail sales, 2022 ($1,000)","(c)","515,838",""
"Total retail sales per capita, 2022","(c)","$20,434",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.7",""
"Median households income (in 2023 dollars), 2019-2023","","$69,338",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,033",""
"Persons in poverty, percent","","12.3%",""
"Total employer establishments, 2022","","625",""
"Total employment, 2022","","7,370",""
"Total annual payroll, 2022 ($1,000)","","345,103",""
"Total employment, percent change, 2021-2022","","3.3%",""
"Total nonemployer establishments, 2022","","1,374",""
"All employer firms, Reference year 2022","","521",""
"Men-owned employer firms, Reference year 2022","","267",""
"Women-owned employer firms, Reference year 2022","","71",""
"Minority-owned employer firms, Reference year 2022","","71",""
"Nonminority-owned employer firms, Reference year 2022","","379",""
"Veteran-owned employer firms, Reference year 2022","","19",""
"Nonveteran-owned employer firms, Reference year 2022","","430",""
"Population per square mile, 2020","","40.6",""
"Population per square mile, 2010","","37.5",""
"Land area in square miles, 2020","","597.54",""
"Land area in square miles, 2010","","597.19",""
"FIPS Code","","""16053""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
