"Fact","Fact Note","Kootenai County, Idaho","Value Note for Kootenai County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","188,323",""
"Population estimates, July 1, 2023, (V2023)","","185,010",""
"Population estimates base, April 1, 2020, (V2024)","","171,362",""
"Population estimates base, April 1, 2020, (V2023)","","171,363",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","9.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","8.0%",""
"Population, Census, April 1, 2020","","171,362",""
"Population, Census, April 1, 2010","","138,494",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","22.1%",""
"Persons 65 years and over, percent","","20.4%",""
"Female persons, percent","","50.1%",""
"White alone, percent","","93.9%",""
"Black alone, percent (a)","(a)","0.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","5.9%",""
"White alone, not Hispanic or Latino, percent","","88.9%",""
"Veterans, 2019-2023","","13,748",""
"Foreign-born persons, percent, 2019-2023","","2.4%",""
"Housing Units, July 1, 2023, (V2023)","","82,669",""
"Owner-occupied housing unit rate, 2019-2023","","72.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$467,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,735",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$524",""
"Median gross rent, 2019-2023","","$1,330",""
"Building Permits, 2023","","2,043",""
"Households, 2019-2023","","69,104",""
"Persons per household, 2019-2023","","2.54",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.5%",""
"Households with a computer, percent, 2019-2023","","96.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.8%",""
"Persons without health insurance, under age 65 years, percent","","9.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","718,454",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,818,424",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","164,823",""
"Total retail sales, 2022 ($1,000)","(c)","4,644,328",""
"Total retail sales per capita, 2022","(c)","$25,339",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.4",""
"Median households income (in 2023 dollars), 2019-2023","","$77,034",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,797",""
"Persons in poverty, percent","","9.3%",""
"Total employer establishments, 2022","","6,069",""
"Total employment, 2022","","63,347",""
"Total annual payroll, 2022 ($1,000)","","3,217,312",""
"Total employment, percent change, 2021-2022","","5.7%",""
"Total nonemployer establishments, 2022","","16,427",""
"All employer firms, Reference year 2022","","4,913",""
"Men-owned employer firms, Reference year 2022","","2,567",""
"Women-owned employer firms, Reference year 2022","","822",""
"Minority-owned employer firms, Reference year 2022","","251",""
"Nonminority-owned employer firms, Reference year 2022","","4,142",""
"Veteran-owned employer firms, Reference year 2022","","239",""
"Nonveteran-owned employer firms, Reference year 2022","","4,125",""
"Population per square mile, 2020","","138.4",""
"Population per square mile, 2010","","111.3",""
"Land area in square miles, 2020","","1,237.78",""
"Land area in square miles, 2010","","1,244.13",""
"FIPS Code","","""16055""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
