"Fact","Fact Note","Madison County, Idaho","Value Note for Madison County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","55,549",""
"Population estimates, July 1, 2023, (V2023)","","54,547",""
"Population estimates base, April 1, 2020, (V2024)","","52,911",""
"Population estimates base, April 1, 2020, (V2023)","","52,913",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.1%",""
"Population, Census, April 1, 2020","","52,913",""
"Population, Census, April 1, 2010","","37,536",""
"Persons under 5 years, percent","","7.2%",""
"Persons under 18 years, percent","","20.5%",""
"Persons 65 years and over, percent","","5.7%",""
"Female persons, percent","","54.5%",""
"White alone, percent","","93.3%",""
"Black alone, percent (a)","(a)","1.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","9.7%",""
"White alone, not Hispanic or Latino, percent","","84.8%",""
"Veterans, 2019-2023","","734",""
"Foreign-born persons, percent, 2019-2023","","5.1%",""
"Housing Units, July 1, 2023, (V2023)","","15,531",""
"Owner-occupied housing unit rate, 2019-2023","","40.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$365,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,566",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$516",""
"Median gross rent, 2019-2023","","$965",""
"Building Permits, 2023","","403",""
"Households, 2019-2023","","12,778",""
"Persons per household, 2019-2023","","3.45",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","61.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.9%",""
"Households with a computer, percent, 2019-2023","","98.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","79.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","97.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","40.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.5%",""
"Persons without health insurance, under age 65 years, percent","","8.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","68.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","90,282",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","195,721",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","122,937",""
"Total retail sales, 2022 ($1,000)","(c)","778,122",""
"Total retail sales per capita, 2022","(c)","$14,158",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.6",""
"Median households income (in 2023 dollars), 2019-2023","","$58,259",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$23,024",""
"Persons in poverty, percent","","20.6%",""
"Total employer establishments, 2022","","1,076",""
"Total employment, 2022","","21,604",""
"Total annual payroll, 2022 ($1,000)","","622,998",""
"Total employment, percent change, 2021-2022","","5.7%",""
"Total nonemployer establishments, 2022","","3,589",""
"All employer firms, Reference year 2022","","925",""
"Men-owned employer firms, Reference year 2022","","507",""
"Women-owned employer firms, Reference year 2022","","77",""
"Minority-owned employer firms, Reference year 2022","","24",""
"Nonminority-owned employer firms, Reference year 2022","","803",""
"Veteran-owned employer firms, Reference year 2022","","12",""
"Nonveteran-owned employer firms, Reference year 2022","","814",""
"Population per square mile, 2020","","112.8",""
"Population per square mile, 2010","","80.0",""
"Land area in square miles, 2020","","469.27",""
"Land area in square miles, 2010","","469.21",""
"FIPS Code","","""16065""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
