"Fact","Fact Note","Oneida County, Idaho","Value Note for Oneida County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","4,976",""
"Population estimates, July 1, 2023, (V2023)","","4,953",""
"Population estimates base, April 1, 2020, (V2024)","","4,564",""
"Population estimates base, April 1, 2020, (V2023)","","4,566",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","9.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","8.5%",""
"Population, Census, April 1, 2020","","4,564",""
"Population, Census, April 1, 2010","","4,286",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","27.5%",""
"Persons 65 years and over, percent","","20.0%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","96.4%",""
"Black alone, percent (a)","(a)","0.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","4.3%",""
"White alone, not Hispanic or Latino, percent","","92.6%",""
"Veterans, 2019-2023","","256",""
"Foreign-born persons, percent, 2019-2023","","1.1%",""
"Housing Units, July 1, 2023, (V2023)","","2,158",""
"Owner-occupied housing unit rate, 2019-2023","","87.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$228,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,324",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$385",""
"Median gross rent, 2019-2023","","$1,009",""
"Building Permits, 2023","","32",""
"Households, 2019-2023","","1,932",""
"Persons per household, 2019-2023","","2.40",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.2%",""
"Households with a computer, percent, 2019-2023","","92.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","26.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.3%",""
"Persons without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","3,729",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","25,795",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","96,964",""
"Total retail sales per capita, 2022","(c)","$20,457",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.1",""
"Median households income (in 2023 dollars), 2019-2023","","$72,563",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,895",""
"Persons in poverty, percent","","10.0%",""
"Total employer establishments, 2022","","99",""
"Total employment, 2022","","928",""
"Total annual payroll, 2022 ($1,000)","","32,628",""
"Total employment, percent change, 2021-2022","","13.9%",""
"Total nonemployer establishments, 2022","","407",""
"All employer firms, Reference year 2022","","110",""
"Men-owned employer firms, Reference year 2022","","61",""
"Women-owned employer firms, Reference year 2022","","12",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","93",""
"Veteran-owned employer firms, Reference year 2022","","2",""
"Nonveteran-owned employer firms, Reference year 2022","","85",""
"Population per square mile, 2020","","3.8",""
"Population per square mile, 2010","","3.6",""
"Land area in square miles, 2020","","1,198.95",""
"Land area in square miles, 2010","","1,200.06",""
"FIPS Code","","""16071""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
