"Fact","Fact Note","Shoshone County, Idaho","Value Note for Shoshone County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","14,074",""
"Population estimates, July 1, 2023, (V2023)","","14,026",""
"Population estimates base, April 1, 2020, (V2024)","","13,173",""
"Population estimates base, April 1, 2020, (V2023)","","13,168",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","6.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","6.5%",""
"Population, Census, April 1, 2020","","13,169",""
"Population, Census, April 1, 2010","","12,765",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","21.0%",""
"Persons 65 years and over, percent","","23.4%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","93.6%",""
"Black alone, percent (a)","(a)","0.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.7%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","4.3%",""
"White alone, not Hispanic or Latino, percent","","90.2%",""
"Veterans, 2019-2023","","1,062",""
"Foreign-born persons, percent, 2019-2023","","1.6%",""
"Housing Units, July 1, 2023, (V2023)","","7,096",""
"Owner-occupied housing unit rate, 2019-2023","","73.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$222,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,240",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$421",""
"Median gross rent, 2019-2023","","$880",""
"Building Permits, 2023","","45",""
"Households, 2019-2023","","5,679",""
"Persons per household, 2019-2023","","2.34",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.2%",""
"Households with a computer, percent, 2019-2023","","88.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","11.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.8%",""
"Persons without health insurance, under age 65 years, percent","","10.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","28,512",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","49,242",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","18,071",""
"Total retail sales, 2022 ($1,000)","(c)","707,958",""
"Total retail sales per capita, 2022","(c)","$50,804",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.3",""
"Median households income (in 2023 dollars), 2019-2023","","$49,975",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$27,965",""
"Persons in poverty, percent","","15.7%",""
"Total employer establishments, 2022","","355",""
"Total employment, 2022","","4,368",""
"Total annual payroll, 2022 ($1,000)","","210,189",""
"Total employment, percent change, 2021-2022","","10.0%",""
"Total nonemployer establishments, 2022","","914",""
"All employer firms, Reference year 2022","","382",""
"Men-owned employer firms, Reference year 2022","","171",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","20",""
"Nonminority-owned employer firms, Reference year 2022","","314",""
"Veteran-owned employer firms, Reference year 2022","","10",""
"Nonveteran-owned employer firms, Reference year 2022","","305",""
"Population per square mile, 2020","","5.0",""
"Population per square mile, 2010","","4.9",""
"Land area in square miles, 2020","","2,637.43",""
"Land area in square miles, 2010","","2,629.67",""
"FIPS Code","","""16079""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
