"Fact","Fact Note","Boone County, Illinois","Value Note for Boone County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","53,313",""
"Population estimates, July 1, 2023, (V2023)","","53,202",""
"Population estimates base, April 1, 2020, (V2024)","","53,446",""
"Population estimates base, April 1, 2020, (V2023)","","53,451",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.5%",""
"Population, Census, April 1, 2020","","53,448",""
"Population, Census, April 1, 2010","","54,165",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","17.4%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","91.6%",""
"Black alone, percent (a)","(a)","3.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","26.3%",""
"White alone, not Hispanic or Latino, percent","","68.0%",""
"Veterans, 2019-2023","","2,278",""
"Foreign-born persons, percent, 2019-2023","","10.2%",""
"Housing Units, July 1, 2023, (V2023)","","20,398",""
"Owner-occupied housing unit rate, 2019-2023","","83.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$198,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,589",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$728",""
"Median gross rent, 2019-2023","","$1,011",""
"Building Permits, 2023","","29",""
"Households, 2019-2023","","19,155",""
"Persons per household, 2019-2023","","2.77",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","20.0%",""
"Households with a computer, percent, 2019-2023","","94.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.8%",""
"Persons without health insurance, under age 65 years, percent","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","57,247",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","103,456",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","102,170",""
"Total retail sales, 2022 ($1,000)","(c)","580,870",""
"Total retail sales per capita, 2022","(c)","$10,946",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.3",""
"Median households income (in 2023 dollars), 2019-2023","","$81,638",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,437",""
"Persons in poverty, percent","","10.8%",""
"Total employer establishments, 2022","","879",""
"Total employment, 2022","","14,872",""
"Total annual payroll, 2022 ($1,000)","","852,835",""
"Total employment, percent change, 2021-2022","","1.9%",""
"Total nonemployer establishments, 2022","","3,411",""
"All employer firms, Reference year 2022","","844",""
"Men-owned employer firms, Reference year 2022","","580",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","569",""
"Veteran-owned employer firms, Reference year 2022","","10",""
"Nonveteran-owned employer firms, Reference year 2022","","715",""
"Population per square mile, 2020","","190.4",""
"Population per square mile, 2010","","193.0",""
"Land area in square miles, 2020","","280.74",""
"Land area in square miles, 2010","","280.72",""
"FIPS Code","","""17007""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
