"Fact","Fact Note","Champaign County, Illinois","Value Note for Champaign County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","212,374",""
"Population estimates, July 1, 2023, (V2023)","","205,644",""
"Population estimates base, April 1, 2020, (V2024)","","206,455",""
"Population estimates base, April 1, 2020, (V2023)","","205,873",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.1%",""
"Population, Census, April 1, 2020","","205,865",""
"Population, Census, April 1, 2010","","201,081",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","19.0%",""
"Persons 65 years and over, percent","","14.5%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","70.6%",""
"Black alone, percent (a)","(a)","14.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","10.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.4%",""
"Hispanic or Latino, percent (b)","(b)","8.2%",""
"White alone, not Hispanic or Latino, percent","","63.7%",""
"Veterans, 2019-2023","","7,180",""
"Foreign-born persons, percent, 2019-2023","","13.5%",""
"Housing Units, July 1, 2023, (V2023)","","96,008",""
"Owner-occupied housing unit rate, 2019-2023","","53.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$205,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,609",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$709",""
"Median gross rent, 2019-2023","","$1,018",""
"Building Permits, 2023","","583",""
"Households, 2019-2023","","83,777",""
"Persons per household, 2019-2023","","2.29",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","80.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","18.6%",""
"Households with a computer, percent, 2019-2023","","96.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","95.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","46.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.6%",""
"Persons without health insurance, under age 65 years, percent","","5.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","654,748",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","2,657,847",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","365,646",""
"Total retail sales, 2022 ($1,000)","(c)","3,649,253",""
"Total retail sales per capita, 2022","(c)","$17,700",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","17.3",""
"Median households income (in 2023 dollars), 2019-2023","","$63,091",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,366",""
"Persons in poverty, percent","","16.2%",""
"Total employer establishments, 2022","","4,256",""
"Total employment, 2022","","70,741",""
"Total annual payroll, 2022 ($1,000)","","3,796,006",""
"Total employment, percent change, 2021-2022","","4.7%",""
"Total nonemployer establishments, 2022","","13,507",""
"All employer firms, Reference year 2022","","3,166",""
"Men-owned employer firms, Reference year 2022","","1,782",""
"Women-owned employer firms, Reference year 2022","","647",""
"Minority-owned employer firms, Reference year 2022","","424",""
"Nonminority-owned employer firms, Reference year 2022","","2,231",""
"Veteran-owned employer firms, Reference year 2022","","61",""
"Nonveteran-owned employer firms, Reference year 2022","","2,585",""
"Population per square mile, 2020","","206.7",""
"Population per square mile, 2010","","201.8",""
"Land area in square miles, 2020","","996.10",""
"Land area in square miles, 2010","","996.27",""
"FIPS Code","","""17019""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
