"Fact","Fact Note","DeKalb County, Illinois","Value Note for DeKalb County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","101,335",""
"Population estimates, July 1, 2023, (V2023)","","100,288",""
"Population estimates base, April 1, 2020, (V2024)","","100,514",""
"Population estimates base, April 1, 2020, (V2023)","","100,422",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.1%",""
"Population, Census, April 1, 2020","","100,420",""
"Population, Census, April 1, 2010","","105,160",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","21.3%",""
"Persons 65 years and over, percent","","14.3%",""
"Female persons, percent","","50.3%",""
"White alone, percent","","84.6%",""
"Black alone, percent (a)","(a)","9.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","2.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","14.9%",""
"White alone, not Hispanic or Latino, percent","","71.3%",""
"Veterans, 2019-2023","","4,024",""
"Foreign-born persons, percent, 2019-2023","","6.4%",""
"Housing Units, July 1, 2023, (V2023)","","41,868",""
"Owner-occupied housing unit rate, 2019-2023","","60.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$231,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,850",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$845",""
"Median gross rent, 2019-2023","","$1,041",""
"Building Permits, 2023","","281",""
"Households, 2019-2023","","39,314",""
"Persons per household, 2019-2023","","2.44",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","82.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.0%",""
"Households with a computer, percent, 2019-2023","","96.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","32.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.3%",""
"Persons without health insurance, under age 65 years, percent","","6.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","69.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","203,599",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","544,897",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","162,705",""
"Total retail sales, 2022 ($1,000)","(c)","1,439,548",""
"Total retail sales per capita, 2022","(c)","$14,363",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.7",""
"Median households income (in 2023 dollars), 2019-2023","","$69,022",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$35,054",""
"Persons in poverty, percent","","12.5%",""
"Total employer establishments, 2022","","1,975",""
"Total employment, 2022","","28,500",""
"Total annual payroll, 2022 ($1,000)","","1,400,034",""
"Total employment, percent change, 2021-2022","","4.9%",""
"Total nonemployer establishments, 2022","","6,795",""
"All employer firms, Reference year 2022","","1,583",""
"Men-owned employer firms, Reference year 2022","","879",""
"Women-owned employer firms, Reference year 2022","","307",""
"Minority-owned employer firms, Reference year 2022","","201",""
"Nonminority-owned employer firms, Reference year 2022","","1,156",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,274",""
"Population per square mile, 2020","","159.1",""
"Population per square mile, 2010","","166.6",""
"Land area in square miles, 2020","","631.34",""
"Land area in square miles, 2010","","631.31",""
"FIPS Code","","""17037""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
