"Fact","Fact Note","DuPage County, Illinois","Value Note for DuPage County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","937,142",""
"Population estimates, July 1, 2023, (V2023)","","921,213",""
"Population estimates base, April 1, 2020, (V2024)","","933,031",""
"Population estimates base, April 1, 2020, (V2023)","","932,884",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.3%",""
"Population, Census, April 1, 2020","","932,877",""
"Population, Census, April 1, 2010","","916,924",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","21.9%",""
"Persons 65 years and over, percent","","18.0%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","78.0%",""
"Black alone, percent (a)","(a)","5.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","13.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","16.3%",""
"White alone, not Hispanic or Latino, percent","","63.1%",""
"Veterans, 2019-2023","","25,869",""
"Foreign-born persons, percent, 2019-2023","","20.2%",""
"Housing Units, July 1, 2023, (V2023)","","367,833",""
"Owner-occupied housing unit rate, 2019-2023","","73.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$374,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,410",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$1,025",""
"Median gross rent, 2019-2023","","$1,628",""
"Building Permits, 2023","","973",""
"Households, 2019-2023","","349,497",""
"Persons per household, 2019-2023","","2.62",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","29.4%",""
"Households with a computer, percent, 2019-2023","","97.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","94.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","51.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.1%",""
"Persons without health insurance, under age 65 years, percent","","5.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","68.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","3,664,144",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","11,403,706",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","9,366,621",""
"Total retail sales, 2022 ($1,000)","(c)","25,602,928",""
"Total retail sales per capita, 2022","(c)","$27,779",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.0",""
"Median households income (in 2023 dollars), 2019-2023","","$110,502",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$57,051",""
"Persons in poverty, percent","","6.6%",""
"Total employer establishments, 2022","","34,252",""
"Total employment, 2022","","585,637",""
"Total annual payroll, 2022 ($1,000)","","42,616,191",""
"Total employment, percent change, 2021-2022","","5.3%",""
"Total nonemployer establishments, 2022","","95,186",""
"All employer firms, Reference year 2022","","27,751",""
"Men-owned employer firms, Reference year 2022","","17,913",""
"Women-owned employer firms, Reference year 2022","","5,607",""
"Minority-owned employer firms, Reference year 2022","","5,798",""
"Nonminority-owned employer firms, Reference year 2022","","19,600",""
"Veteran-owned employer firms, Reference year 2022","","816",""
"Nonveteran-owned employer firms, Reference year 2022","","24,671",""
"Population per square mile, 2020","","2,845.9",""
"Population per square mile, 2010","","2,799.8",""
"Land area in square miles, 2020","","327.80",""
"Land area in square miles, 2010","","327.50",""
"FIPS Code","","""17043""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
