"Fact","Fact Note","Ford County, Illinois","Value Note for Ford County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","13,451",""
"Population estimates, July 1, 2023, (V2023)","","13,250",""
"Population estimates base, April 1, 2020, (V2024)","","13,522",""
"Population estimates base, April 1, 2020, (V2023)","","13,526",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.0%",""
"Population, Census, April 1, 2020","","13,534",""
"Population, Census, April 1, 2010","","14,081",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","23.0%",""
"Persons 65 years and over, percent","","19.9%",""
"Female persons, percent","","50.1%",""
"White alone, percent","","94.8%",""
"Black alone, percent (a)","(a)","1.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","5.4%",""
"White alone, not Hispanic or Latino, percent","","90.6%",""
"Veterans, 2019-2023","","876",""
"Foreign-born persons, percent, 2019-2023","","2.5%",""
"Housing Units, July 1, 2023, (V2023)","","6,262",""
"Owner-occupied housing unit rate, 2019-2023","","74.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$118,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,217",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$562",""
"Median gross rent, 2019-2023","","$836",""
"Building Permits, 2023","","8",""
"Households, 2019-2023","","5,728",""
"Persons per household, 2019-2023","","2.27",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.1%",""
"Households with a computer, percent, 2019-2023","","93.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.1%",""
"Persons without health insurance, under age 65 years, percent","","6.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","16,896",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","186,708",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","7,307",""
"Total retail sales, 2022 ($1,000)","(c)","138,741",""
"Total retail sales per capita, 2022","(c)","$10,466",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.3",""
"Median households income (in 2023 dollars), 2019-2023","","$60,782",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,674",""
"Persons in poverty, percent","","11.0%",""
"Total employer establishments, 2022","","337",""
"Total employment, 2022","","4,234",""
"Total annual payroll, 2022 ($1,000)","","207,341",""
"Total employment, percent change, 2021-2022","","1.9%",""
"Total nonemployer establishments, 2022","","905",""
"All employer firms, Reference year 2022","","284",""
"Men-owned employer firms, Reference year 2022","","191",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","226",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","247",""
"Population per square mile, 2020","","27.9",""
"Population per square mile, 2010","","29.0",""
"Land area in square miles, 2020","","485.60",""
"Land area in square miles, 2010","","485.62",""
"FIPS Code","","""17053""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
