"Fact","Fact Note","Jackson County, Illinois","Value Note for Jackson County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","53,199",""
"Population estimates, July 1, 2023, (V2023)","","52,141",""
"Population estimates base, April 1, 2020, (V2024)","","53,338",""
"Population estimates base, April 1, 2020, (V2023)","","52,966",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.6%",""
"Population, Census, April 1, 2020","","52,974",""
"Population, Census, April 1, 2010","","60,218",""
"Persons under 5 years, percent","","5.2%",""
"Persons under 18 years, percent","","19.2%",""
"Persons 65 years and over, percent","","17.2%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","76.9%",""
"Black alone, percent (a)","(a)","15.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","3.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.2%",""
"Hispanic or Latino, percent (b)","(b)","5.3%",""
"White alone, not Hispanic or Latino, percent","","72.7%",""
"Veterans, 2019-2023","","2,412",""
"Foreign-born persons, percent, 2019-2023","","5.7%",""
"Housing Units, July 1, 2023, (V2023)","","27,710",""
"Owner-occupied housing unit rate, 2019-2023","","49.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$125,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,332",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$549",""
"Median gross rent, 2019-2023","","$746",""
"Building Permits, 2023","","6",""
"Households, 2019-2023","","23,088",""
"Persons per household, 2019-2023","","2.13",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","78.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.0%",""
"Households with a computer, percent, 2019-2023","","93.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","35.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.7%",""
"Persons without health insurance, under age 65 years, percent","","7.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","118,419",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","864,698",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","22,852",""
"Total retail sales, 2022 ($1,000)","(c)","802,702",""
"Total retail sales per capita, 2022","(c)","$15,296",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.1",""
"Median households income (in 2023 dollars), 2019-2023","","$45,572",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,227",""
"Persons in poverty, percent","","20.7%",""
"Total employer establishments, 2022","","1,176",""
"Total employment, 2022","","15,969",""
"Total annual payroll, 2022 ($1,000)","","773,078",""
"Total employment, percent change, 2021-2022","","6.8%",""
"Total nonemployer establishments, 2022","","3,348",""
"All employer firms, Reference year 2022","","941",""
"Men-owned employer firms, Reference year 2022","","583",""
"Women-owned employer firms, Reference year 2022","","124",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","689",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","655",""
"Population per square mile, 2020","","90.8",""
"Population per square mile, 2010","","103.1",""
"Land area in square miles, 2020","","583.57",""
"Land area in square miles, 2010","","584.08",""
"FIPS Code","","""17077""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
