"Fact","Fact Note","Kane County, Illinois","Value Note for Kane County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","520,997",""
"Population estimates, July 1, 2023, (V2023)","","514,982",""
"Population estimates base, April 1, 2020, (V2024)","","516,722",""
"Population estimates base, April 1, 2020, (V2023)","","516,516",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.3%",""
"Population, Census, April 1, 2020","","516,522",""
"Population, Census, April 1, 2010","","515,269",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","16.1%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","85.8%",""
"Black alone, percent (a)","(a)","6.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.1%",""
"Asian alone, percent (a)","(a)","4.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","33.5%",""
"White alone, not Hispanic or Latino, percent","","54.9%",""
"Veterans, 2019-2023","","17,777",""
"Foreign-born persons, percent, 2019-2023","","17.2%",""
"Housing Units, July 1, 2023, (V2023)","","191,944",""
"Owner-occupied housing unit rate, 2019-2023","","75.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$303,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,212",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$930",""
"Median gross rent, 2019-2023","","$1,404",""
"Building Permits, 2023","","2,149",""
"Households, 2019-2023","","183,196",""
"Persons per household, 2019-2023","","2.79",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","32.0%",""
"Households with a computer, percent, 2019-2023","","96.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","37.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.2%",""
"Persons without health insurance, under age 65 years, percent","","9.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","69.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,368,626",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","3,524,922",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","1,409,819",""
"Total retail sales, 2022 ($1,000)","(c)","8,836,782",""
"Total retail sales per capita, 2022","(c)","$17,188",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.3",""
"Median households income (in 2023 dollars), 2019-2023","","$100,678",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,013",""
"Persons in poverty, percent","","8.4%",""
"Total employer establishments, 2022","","13,441",""
"Total employment, 2022","","188,936",""
"Total annual payroll, 2022 ($1,000)","","10,717,109",""
"Total employment, percent change, 2021-2022","","3.8%",""
"Total nonemployer establishments, 2022","","41,524",""
"All employer firms, Reference year 2022","","11,054",""
"Men-owned employer firms, Reference year 2022","","6,978",""
"Women-owned employer firms, Reference year 2022","","1,994",""
"Minority-owned employer firms, Reference year 2022","","2,460",""
"Nonminority-owned employer firms, Reference year 2022","","7,604",""
"Veteran-owned employer firms, Reference year 2022","","384",""
"Nonveteran-owned employer firms, Reference year 2022","","9,683",""
"Population per square mile, 2020","","994.5",""
"Population per square mile, 2010","","990.8",""
"Land area in square miles, 2020","","519.37",""
"Land area in square miles, 2010","","520.06",""
"FIPS Code","","""17089""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
