"Fact","Fact Note","Marion County, Illinois","Value Note for Marion County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","36,437",""
"Population estimates, July 1, 2023, (V2023)","","36,673",""
"Population estimates base, April 1, 2020, (V2024)","","37,738",""
"Population estimates base, April 1, 2020, (V2023)","","37,736",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.8%",""
"Population, Census, April 1, 2020","","37,729",""
"Population, Census, April 1, 2010","","39,437",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","23.6%",""
"Persons 65 years and over, percent","","20.4%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","92.2%",""
"Black alone, percent (a)","(a)","4.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","2.4%",""
"White alone, not Hispanic or Latino, percent","","90.3%",""
"Veterans, 2019-2023","","2,404",""
"Foreign-born persons, percent, 2019-2023","","1.5%",""
"Housing Units, July 1, 2023, (V2023)","","17,381",""
"Owner-occupied housing unit rate, 2019-2023","","74.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$100,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,192",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$503",""
"Median gross rent, 2019-2023","","$771",""
"Building Permits, 2023","","5",""
"Households, 2019-2023","","15,465",""
"Persons per household, 2019-2023","","2.36",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.3%",""
"Households with a computer, percent, 2019-2023","","90.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.9%",""
"Persons without health insurance, under age 65 years, percent","","6.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","60,843",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","351,631",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","174,394",""
"Total retail sales, 2022 ($1,000)","(c)","456,823",""
"Total retail sales per capita, 2022","(c)","$12,378",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.4",""
"Median households income (in 2023 dollars), 2019-2023","","$60,839",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,199",""
"Persons in poverty, percent","","16.0%",""
"Total employer establishments, 2022","","853",""
"Total employment, 2022","","10,896",""
"Total annual payroll, 2022 ($1,000)","","493,328",""
"Total employment, percent change, 2021-2022","","4.8%",""
"Total nonemployer establishments, 2022","","2,055",""
"All employer firms, Reference year 2022","","683",""
"Men-owned employer firms, Reference year 2022","","406",""
"Women-owned employer firms, Reference year 2022","","54",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","538",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","553",""
"Population per square mile, 2020","","65.9",""
"Population per square mile, 2010","","68.9",""
"Land area in square miles, 2020","","572.54",""
"Land area in square miles, 2010","","572.36",""
"FIPS Code","","""17121""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
