"Fact","Fact Note","Menard County, Illinois","Value Note for Menard County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","11,963",""
"Population estimates, July 1, 2023, (V2023)","","11,954",""
"Population estimates base, April 1, 2020, (V2024)","","12,296",""
"Population estimates base, April 1, 2020, (V2023)","","12,295",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.8%",""
"Population, Census, April 1, 2020","","12,297",""
"Population, Census, April 1, 2010","","12,705",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","21.4%",""
"Persons 65 years and over, percent","","21.2%",""
"Female persons, percent","","51.2%",""
"White alone, percent","","96.2%",""
"Black alone, percent (a)","(a)","1.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","1.7%",""
"White alone, not Hispanic or Latino, percent","","94.7%",""
"Veterans, 2019-2023","","954",""
"Foreign-born persons, percent, 2019-2023","","1.2%",""
"Housing Units, July 1, 2023, (V2023)","","5,606",""
"Owner-occupied housing unit rate, 2019-2023","","79.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$179,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,486",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$609",""
"Median gross rent, 2019-2023","","$780",""
"Building Permits, 2023","","8",""
"Households, 2019-2023","","5,195",""
"Persons per household, 2019-2023","","2.32",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.4%",""
"Households with a computer, percent, 2019-2023","","94.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","26.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.3%",""
"Persons without health insurance, under age 65 years, percent","","4.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","9,939",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","9,046",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","11,803",""
"Total retail sales, 2022 ($1,000)","(c)","74,153",""
"Total retail sales per capita, 2022","(c)","$6,143",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.9",""
"Median households income (in 2023 dollars), 2019-2023","","$81,334",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$41,888",""
"Persons in poverty, percent","","10.3%",""
"Total employer establishments, 2022","","200",""
"Total employment, 2022","","1,187",""
"Total annual payroll, 2022 ($1,000)","","49,267",""
"Total employment, percent change, 2021-2022","","6.7%",""
"Total nonemployer establishments, 2022","","771",""
"All employer firms, Reference year 2022","","139",""
"Men-owned employer firms, Reference year 2022","","46",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","122",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","121",""
"Population per square mile, 2020","","39.1",""
"Population per square mile, 2010","","40.4",""
"Land area in square miles, 2020","","314.39",""
"Land area in square miles, 2010","","314.44",""
"FIPS Code","","""17129""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
