"Fact","Fact Note","Moultrie County, Illinois","Value Note for Moultrie County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","14,365",""
"Population estimates, July 1, 2023, (V2023)","","14,342",""
"Population estimates base, April 1, 2020, (V2024)","","14,537",""
"Population estimates base, April 1, 2020, (V2023)","","14,527",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.3%",""
"Population, Census, April 1, 2020","","14,526",""
"Population, Census, April 1, 2010","","14,846",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","24.8%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","97.2%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent (b)","(b)","1.8%",""
"White alone, not Hispanic or Latino, percent","","95.6%",""
"Veterans, 2019-2023","","695",""
"Foreign-born persons, percent, 2019-2023","","0.6%",""
"Housing Units, July 1, 2023, (V2023)","","6,290",""
"Owner-occupied housing unit rate, 2019-2023","","77.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$121,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,169",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$583",""
"Median gross rent, 2019-2023","","$773",""
"Building Permits, 2023","","37",""
"Households, 2019-2023","","5,822",""
"Persons per household, 2019-2023","","2.43",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.5%",""
"Households with a computer, percent, 2019-2023","","89.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.2%",""
"Persons without health insurance, under age 65 years, percent","","8.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","48.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","14,011",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","41,832",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","49,783",""
"Total retail sales, 2022 ($1,000)","(c)","143,105",""
"Total retail sales per capita, 2022","(c)","$9,955",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.2",""
"Median households income (in 2023 dollars), 2019-2023","","$71,676",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$35,896",""
"Persons in poverty, percent","","11.0%",""
"Total employer establishments, 2022","","341",""
"Total employment, 2022","","5,262",""
"Total annual payroll, 2022 ($1,000)","","249,701",""
"Total employment, percent change, 2021-2022","","4.4%",""
"Total nonemployer establishments, 2022","","1,102",""
"All employer firms, Reference year 2022","","248",""
"Men-owned employer firms, Reference year 2022","","117",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","202",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","181",""
"Population per square mile, 2020","","43.2",""
"Population per square mile, 2010","","44.2",""
"Land area in square miles, 2020","","335.96",""
"Land area in square miles, 2010","","335.94",""
"FIPS Code","","""17139""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
